r,t,y,TotalCapacityAnnual
RE1,MINCOA,2020,378.432
RE1,MINCOA,2021,378.432
RE1,MINCOA,2022,378.432
RE1,MINCOA,2023,378.432
RE1,MINCOA,2024,378.432
RE1,MINCOA,2025,378.432
RE1,MINCOA,2026,378.432
RE1,MINCOA,2027,378.432
RE1,MINCOA,2028,378.432
RE1,MINCOA,2029,378.432
RE1,MINCOA,2030,378.432
RE1,MINCOA,2031,378.432
RE1,MINCOA,2032,378.432
RE1,MINCOA,2033,378.432
RE1,MINCOA,2034,378.432
RE1,MINCOA,2035,378.432
RE1,MINGAS,2020,116.1203
RE1,MINGAS,2021,185.625
RE1,MINGAS,2022,262.605
RE1,MINGAS,2023,314.1413
RE1,MINGAS,2024,359.9666
RE1,MINGAS,2025,378.432
RE1,MINGAS,2026,378.432
RE1,MINGAS,2027,401.4144
RE1,MINGAS,2028,457.5399
RE1,MINGAS,2029,519.2012
RE1,MINGAS,2030,709.7948
RE1,MINGAS,2031,776.9473
RE1,MINGAS,2032,849.5889
RE1,MINGAS,2033,925.0378
RE1,MINGAS,2034,1006.1118
RE1,MINGAS,2035,1089.9403
RE1,PWRGAS,2020,6.0
RE1,PWRGAS,2021,6.0
RE1,PWRGAS,2022,6.0
RE1,PWRGAS,2023,6.0
RE1,PWRGAS,2024,6.0
RE1,PWRGAS,2025,6.0
RE1,PWRGAS,2026,5.5193
RE1,PWRGAS,2027,6.3644
RE1,PWRGAS,2028,7.2542
RE1,PWRGAS,2029,8.2319
RE1,PWRGAS,2030,11.2537
RE1,PWRGAS,2031,12.3184
RE1,PWRGAS,2032,13.4701
RE1,PWRGAS,2033,14.6664
RE1,PWRGAS,2034,15.9518
RE1,PWRGAS,2035,17.2809
RE1,PWRCOA,2020,4.0
RE1,PWRCOA,2021,4.0
RE1,PWRCOA,2022,4.0
RE1,PWRCOA,2023,4.0
RE1,PWRCOA,2024,4.0
RE1,PWRCOA,2025,4.0
RE1,PWRCOA,2026,4.0
RE1,PWRCOA,2027,4.0
RE1,PWRCOA,2028,4.0
RE1,PWRCOA,2029,4.0
RE1,PWRCOA,2030,2.0
RE1,PWRCOA,2031,2.0
RE1,PWRCOA,2032,2.0
RE1,PWRCOA,2033,2.0
RE1,PWRCOA,2034,2.0
RE1,PWRCOA,2035,2.0
RE1,PWRTRN,2020,8.0
RE1,PWRTRN,2021,8.0
RE1,PWRTRN,2022,8.2246
RE1,PWRTRN,2023,8.9447
RE1,PWRTRN,2024,9.6729
RE1,PWRTRN,2025,10.4547
RE1,PWRTRN,2026,11.3005
RE1,PWRTRN,2027,12.1465
RE1,PWRTRN,2028,13.0374
RE1,PWRTRN,2029,14.0162
RE1,PWRTRN,2030,15.0392
RE1,PWRTRN,2031,16.1073
RE1,PWRTRN,2032,17.2634
RE1,PWRTRN,2033,18.464
RE1,PWRTRN,2034,19.7528
RE1,PWRTRN,2035,21.0864
RE1,RSCLND,2020,300.0
RE1,RSCLND,2021,300.0
RE1,RSCLND,2022,300.0
RE1,RSCLND,2023,300.0
RE1,RSCLND,2024,300.0
RE1,RSCLND,2025,300.0
RE1,RSCLND,2026,300.0
RE1,RSCLND,2027,300.0
RE1,RSCLND,2028,300.0
RE1,RSCLND,2029,300.0
RE1,RSCLND,2030,300.0
RE1,RSCLND,2031,300.0
RE1,RSCLND,2032,300.0
RE1,RSCLND,2033,300.0
RE1,RSCLND,2034,300.0
RE1,RSCLND,2035,300.0
RE1,LNDMAIRNF,2020,4.1
RE1,LNDMAIRNF,2021,3.69
RE1,LNDMAIRNF,2022,3.28
RE1,LNDMAIRNF,2023,2.87
RE1,LNDMAIRNF,2024,2.46
RE1,LNDMAIRNF,2025,2.05
RE1,LNDMAIRNF,2026,1.64
RE1,LNDMAIRNF,2027,1.23
RE1,LNDMAIRNF,2028,0.82
RE1,LNDMAIRNF,2029,0.41
RE1,LNDRICRNF,2020,1.423
RE1,LNDRICRNF,2021,1.281
RE1,LNDRICRNF,2022,1.138
RE1,LNDRICRNF,2023,0.996
RE1,LNDRICRNF,2024,0.854
RE1,LNDRICRNF,2025,0.711
RE1,LNDRICRNF,2026,0.569
RE1,LNDRICRNF,2027,0.427
RE1,LNDRICRNF,2028,0.285
RE1,LNDRICRNF,2029,0.142
RE1,LNDMAIIRR,2020,0.3398
RE1,LNDMAIIRR,2021,0.7379
