t,f,m,y,l,r,UseByTechnology
DEMAGRGWTWAT,ELC002,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2022,S11,RE1,0.0603
DEMAGRGWTWAT,ELC002,1,2023,S11,RE1,0.127
DEMAGRGWTWAT,ELC002,1,2024,S11,RE1,0.1089
DEMAGRGWTWAT,ELC002,1,2025,S11,RE1,0.0907
DEMAGRGWTWAT,ELC002,1,2026,S11,RE1,0.0726
DEMAGRGWTWAT,ELC002,1,2027,S11,RE1,0.0544
DEMAGRGWTWAT,ELC002,1,2028,S11,RE1,0.0363
DEMAGRGWTWAT,ELC002,1,2029,S11,RE1,0.0181
DEMAGRGWTWAT,ELC002,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2035,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2022,S11,RE1,0.0558
DEMAGRGWTWAT,WTRGWT,1,2023,S11,RE1,0.1176
DEMAGRGWTWAT,WTRGWT,1,2024,S11,RE1,0.1008
DEMAGRGWTWAT,WTRGWT,1,2025,S11,RE1,0.084
DEMAGRGWTWAT,WTRGWT,1,2026,S11,RE1,0.0672
DEMAGRGWTWAT,WTRGWT,1,2027,S11,RE1,0.0504
DEMAGRGWTWAT,WTRGWT,1,2028,S11,RE1,0.0336
DEMAGRGWTWAT,WTRGWT,1,2029,S11,RE1,0.0168
DEMAGRGWTWAT,WTRGWT,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2035,S11,RE1,0.0
DEMAGRSURWAT,ELC002,1,2020,S11,RE1,0.1442
DEMAGRSURWAT,ELC002,1,2021,S11,RE1,0.2098
DEMAGRSURWAT,ELC002,1,2022,S11,RE1,0.2312
DEMAGRSURWAT,ELC002,1,2023,S11,RE1,0.2472
DEMAGRSURWAT,ELC002,1,2024,S11,RE1,0.3313
DEMAGRSURWAT,ELC002,1,2025,S11,RE1,0.4184
DEMAGRSURWAT,ELC002,1,2026,S11,RE1,0.5027
DEMAGRSURWAT,ELC002,1,2027,S11,RE1,0.5872
DEMAGRSURWAT,ELC002,1,2028,S11,RE1,0.6749
DEMAGRSURWAT,ELC002,1,2029,S11,RE1,0.7628
DEMAGRSURWAT,ELC002,1,2030,S11,RE1,0.8509
DEMAGRSURWAT,ELC002,1,2031,S11,RE1,0.8722
DEMAGRSURWAT,ELC002,1,2032,S11,RE1,0.8937
DEMAGRSURWAT,ELC002,1,2033,S11,RE1,0.9153
DEMAGRSURWAT,ELC002,1,2034,S11,RE1,0.937
DEMAGRSURWAT,ELC002,1,2035,S11,RE1,0.9591
DEMAGRSURWAT,WTRSUR,1,2020,S11,RE1,0.1677
DEMAGRSURWAT,WTRSUR,1,2021,S11,RE1,0.2439
DEMAGRSURWAT,WTRSUR,1,2022,S11,RE1,0.2688
DEMAGRSURWAT,WTRSUR,1,2023,S11,RE1,0.2874
DEMAGRSURWAT,WTRSUR,1,2024,S11,RE1,0.3852
DEMAGRSURWAT,WTRSUR,1,2025,S11,RE1,0.4866
DEMAGRSURWAT,WTRSUR,1,2026,S11,RE1,0.5845
DEMAGRSURWAT,WTRSUR,1,2027,S11,RE1,0.6828
DEMAGRSURWAT,WTRSUR,1,2028,S11,RE1,0.7847
DEMAGRSURWAT,WTRSUR,1,2029,S11,RE1,0.887
DEMAGRSURWAT,WTRSUR,1,2030,S11,RE1,0.9894
DEMAGRSURWAT,WTRSUR,1,2031,S11,RE1,1.0141
DEMAGRSURWAT,WTRSUR,1,2032,S11,RE1,1.0391
DEMAGRSURWAT,WTRSUR,1,2033,S11,RE1,1.0643
DEMAGRSURWAT,WTRSUR,1,2034,S11,RE1,1.0895
DEMAGRSURWAT,WTRSUR,1,2035,S11,RE1,1.1152
DEMPUBGWTWAT,ELC002,1,2020,S11,RE1,1.0682
DEMPUBGWTWAT,ELC002,1,2021,S11,RE1,1.0806
DEMPUBGWTWAT,ELC002,1,2022,S11,RE1,1.0738
DEMPUBGWTWAT,ELC002,1,2023,S11,RE1,1.0667
DEMPUBGWTWAT,ELC002,1,2024,S11,RE1,1.0593
DEMPUBGWTWAT,ELC002,1,2025,S11,RE1,1.0516
DEMPUBGWTWAT,ELC002,1,2026,S11,RE1,1.0435
DEMPUBGWTWAT,ELC002,1,2027,S11,RE1,1.0353
DEMPUBGWTWAT,ELC002,1,2028,S11,RE1,1.0264
DEMPUBGWTWAT,ELC002,1,2029,S11,RE1,1.0174
DEMPUBGWTWAT,ELC002,1,2030,S11,RE1,1.0078
DEMPUBGWTWAT,ELC002,1,2031,S11,RE1,0.998
DEMPUBGWTWAT,ELC002,1,2032,S11,RE1,0.9878
DEMPUBGWTWAT,ELC002,1,2033,S11,RE1,0.977
DEMPUBGWTWAT,ELC002,1,2034,S11,RE1,0.9658
DEMPUBGWTWAT,ELC002,1,2035,S11,RE1,0.9541
DEMPUBGWTWAT,WTRGWT,1,2020,S11,RE1,0.2525
DEMPUBGWTWAT,WTRGWT,1,2021,S11,RE1,0.2555
DEMPUBGWTWAT,WTRGWT,1,2022,S11,RE1,0.2538
DEMPUBGWTWAT,WTRGWT,1,2023,S11,RE1,0.2522
DEMPUBGWTWAT,WTRGWT,1,2024,S11,RE1,0.2504
DEMPUBGWTWAT,WTRGWT,1,2025,S11,RE1,0.2486
DEMPUBGWTWAT,WTRGWT,1,2026,S11,RE1,0.2467
DEMPUBGWTWAT,WTRGWT,1,2027,S11,RE1,0.2447
DEMPUBGWTWAT,WTRGWT,1,2028,S11,RE1,0.2427
DEMPUBGWTWAT,WTRGWT,1,2029,S11,RE1,0.2405
DEMPUBGWTWAT,WTRGWT,1,2030,S11,RE1,0.2383
DEMPUBGWTWAT,WTRGWT,1,2031,S11,RE1,0.2359
DEMPUBGWTWAT,WTRGWT,1,2032,S11,RE1,0.2335
DEMPUBGWTWAT,WTRGWT,1,2033,S11,RE1,0.231
DEMPUBGWTWAT,WTRGWT,1,2034,S11,RE1,0.2283
DEMPUBGWTWAT,WTRGWT,1,2035,S11,RE1,0.2256
DEMPUBSURWAT,ELC002,1,2020,S11,RE1,0.7864
DEMPUBSURWAT,ELC002,1,2021,S11,RE1,0.884
DEMPUBSURWAT,ELC002,1,2022,S11,RE1,1.0006
DEMPUBSURWAT,ELC002,1,2023,S11,RE1,1.1202
DEMPUBSURWAT,ELC002,1,2024,S11,RE1,1.2446
DEMPUBSURWAT,ELC002,1,2025,S11,RE1,1.3752
DEMPUBSURWAT,ELC002,1,2026,S11,RE1,1.5106
DEMPUBSURWAT,ELC002,1,2027,S11,RE1,1.6508
DEMPUBSURWAT,ELC002,1,2028,S11,RE1,1.7988
DEMPUBSURWAT,ELC002,1,2029,S11,RE1,1.9515
DEMPUBSURWAT,ELC002,1,2030,S11,RE1,2.1121
DEMPUBSURWAT,ELC002,1,2031,S11,RE1,2.279
DEMPUBSURWAT,ELC002,1,2032,S11,RE1,2.4522
DEMPUBSURWAT,ELC002,1,2033,S11,RE1,2.6333
DEMPUBSURWAT,ELC002,1,2034,S11,RE1,2.8222
DEMPUBSURWAT,ELC002,1,2035,S11,RE1,3.0205
DEMPUBSURWAT,WTRSUR,1,2020,S11,RE1,0.2789
DEMPUBSURWAT,WTRSUR,1,2021,S11,RE1,0.3135
DEMPUBSURWAT,WTRSUR,1,2022,S11,RE1,0.3548
DEMPUBSURWAT,WTRSUR,1,2023,S11,RE1,0.3972
DEMPUBSURWAT,WTRSUR,1,2024,S11,RE1,0.4413
DEMPUBSURWAT,WTRSUR,1,2025,S11,RE1,0.4877
DEMPUBSURWAT,WTRSUR,1,2026,S11,RE1,0.5357
DEMPUBSURWAT,WTRSUR,1,2027,S11,RE1,0.5854
DEMPUBSURWAT,WTRSUR,1,2028,S11,RE1,0.6379
DEMPUBSURWAT,WTRSUR,1,2029,S11,RE1,0.692
DEMPUBSURWAT,WTRSUR,1,2030,S11,RE1,0.749
DEMPUBSURWAT,WTRSUR,1,2031,S11,RE1,0.8081
DEMPUBSURWAT,WTRSUR,1,2032,S11,RE1,0.8696
DEMPUBSURWAT,WTRSUR,1,2033,S11,RE1,0.9338
DEMPUBSURWAT,WTRSUR,1,2034,S11,RE1,1.0008
DEMPUBSURWAT,WTRSUR,1,2035,S11,RE1,1.0711
DEMPWRSURWAT,ELC002,1,2020,S11,RE1,0.0298
DEMPWRSURWAT,ELC002,1,2021,S11,RE1,0.0334
DEMPWRSURWAT,ELC002,1,2022,S11,RE1,0.0379
DEMPWRSURWAT,ELC002,1,2023,S11,RE1,0.0421
DEMPWRSURWAT,ELC002,1,2024,S11,RE1,0.046
DEMPWRSURWAT,ELC002,1,2025,S11,RE1,0.0497
DEMPWRSURWAT,ELC002,1,2026,S11,RE1,0.0537
DEMPWRSURWAT,ELC002,1,2027,S11,RE1,0.0586
DEMPWRSURWAT,ELC002,1,2028,S11,RE1,0.0637
DEMPWRSURWAT,ELC002,1,2029,S11,RE1,0.0693
DEMPWRSURWAT,ELC002,1,2030,S11,RE1,0.0729
