r,t,m,y,TotalAnnualTechnologyActivityByMode
RE1,MINCOA,1,2020,321.6672
RE1,MINCOA,1,2021,321.6672
RE1,MINCOA,1,2022,321.6672
RE1,MINCOA,1,2023,321.6672
RE1,MINCOA,1,2024,321.6672
RE1,MINCOA,1,2025,321.6672
RE1,MINCOA,1,2026,321.6672
RE1,MINCOA,1,2027,321.6672
RE1,MINCOA,1,2028,321.6672
RE1,MINCOA,1,2029,321.6672
RE1,MINCOA,1,2030,160.8336
RE1,MINCOA,1,2031,160.8336
RE1,MINCOA,1,2032,160.8336
RE1,MINCOA,1,2033,160.8336
RE1,MINCOA,1,2034,160.8336
RE1,MINCOA,1,2035,160.8336
RE1,MINGAS,1,2020,39.5813
RE1,MINGAS,1,2021,67.2153
RE1,MINGAS,1,2022,101.625
RE1,MINGAS,1,2023,138.2768
RE1,MINGAS,1,2024,174.8429
RE1,MINGAS,1,2025,213.6742
RE1,MINGAS,1,2026,256.9613
RE1,MINGAS,1,2027,300.2699
RE1,MINGAS,1,2028,345.8581
RE1,MINGAS,1,2029,395.9119
RE1,MINGAS,1,2030,551.9282
RE1,MINGAS,1,2031,606.22
RE1,MINGAS,1,2032,664.9987
RE1,MINGAS,1,2033,726.0392
RE1,MINGAS,1,2034,791.5516
RE1,MINGAS,1,2035,859.346
RE1,PWRGAS,1,2020,19.7906
RE1,PWRGAS,1,2021,33.6076
RE1,PWRGAS,1,2022,50.8125
RE1,PWRGAS,1,2023,69.1384
RE1,PWRGAS,1,2024,87.4214
RE1,PWRGAS,1,2025,106.8371
RE1,PWRGAS,1,2026,128.4806
RE1,PWRGAS,1,2027,150.135
RE1,PWRGAS,1,2028,172.929
RE1,PWRGAS,1,2029,197.956
RE1,PWRGAS,1,2030,275.9641
RE1,PWRGAS,1,2031,303.11
RE1,PWRGAS,1,2032,332.4994
RE1,PWRGAS,1,2033,363.0196
RE1,PWRGAS,1,2034,395.7758
RE1,PWRGAS,1,2035,429.673
RE1,PWRCOA,1,2020,107.2224
RE1,PWRCOA,1,2021,107.2224
RE1,PWRCOA,1,2022,107.2224
RE1,PWRCOA,1,2023,107.2224
RE1,PWRCOA,1,2024,107.2224
RE1,PWRCOA,1,2025,107.2224
RE1,PWRCOA,1,2026,107.2224
RE1,PWRCOA,1,2027,107.2224
RE1,PWRCOA,1,2028,107.2224
RE1,PWRCOA,1,2029,107.2224
RE1,PWRCOA,1,2030,53.6112
RE1,PWRCOA,1,2031,53.6112
RE1,PWRCOA,1,2032,53.6112
RE1,PWRCOA,1,2033,53.6112
RE1,PWRCOA,1,2034,53.6112
RE1,PWRCOA,1,2035,53.6112
RE1,PWRTRN,1,2020,177.395
RE1,PWRTRN,1,2021,191.229
RE1,PWRTRN,1,2022,208.4508
RE1,PWRTRN,1,2023,226.7952
RE1,PWRTRN,1,2024,245.0954
RE1,PWRTRN,1,2025,264.5321
RE1,PWRTRN,1,2026,286.1929
RE1,PWRTRN,1,2027,307.8663
RE1,PWRTRN,1,2028,330.6803
RE1,PWRTRN,1,2029,355.7288
RE1,PWRTRN,1,2030,381.8983
RE1,PWRTRN,1,2031,409.0432
RE1,PWRTRN,1,2032,438.4262
RE1,PWRTRN,1,2033,468.94
RE1,PWRTRN,1,2034,501.6952
RE1,PWRTRN,1,2035,535.5862
RE1,RSCLND,1,2020,300.0
RE1,RSCLND,1,2021,300.0
RE1,RSCLND,1,2022,300.0
RE1,RSCLND,1,2023,300.0
RE1,RSCLND,1,2024,300.0
RE1,RSCLND,1,2025,300.0
RE1,RSCLND,1,2026,300.0
RE1,RSCLND,1,2027,300.0
RE1,RSCLND,1,2028,300.0
RE1,RSCLND,1,2029,300.0
RE1,RSCLND,1,2030,299.9
RE1,RSCLND,1,2031,299.9
RE1,RSCLND,1,2032,299.9
RE1,RSCLND,1,2033,299.9
RE1,RSCLND,1,2034,299.9
RE1,RSCLND,1,2035,299.9
RE1,LNDMAIRNF,1,2020,4.1
RE1,LNDMAIRNF,1,2021,3.69
RE1,LNDMAIRNF,1,2022,3.28
RE1,LNDMAIRNF,1,2023,2.87
RE1,LNDMAIRNF,1,2024,2.46
RE1,LNDMAIRNF,1,2025,2.05
RE1,LNDMAIRNF,1,2026,1.64
RE1,LNDMAIRNF,1,2027,1.23
RE1,LNDMAIRNF,1,2028,0.82
RE1,LNDMAIRNF,1,2029,0.41
RE1,LNDRICRNF,1,2020,1.3893
RE1,LNDRICRNF,1,2021,1.281
RE1,LNDRICRNF,1,2022,1.138
RE1,LNDRICRNF,1,2023,0.996
RE1,LNDRICRNF,1,2024,0.854
RE1,LNDRICRNF,1,2025,0.711
RE1,LNDRICRNF,1,2026,0.569
RE1,LNDRICRNF,1,2027,0.427
RE1,LNDRICRNF,1,2028,0.285
RE1,LNDRICRNF,1,2029,0.142
RE1,LNDMAIIRR,1,2020,0.3398
RE1,LNDMAIIRR,1,2021,0.7379
RE1,LNDMAIIRR,1,2022,1.1382
RE1,LNDMAIIRR,1,2023,1.5363
RE1,LNDMAIIRR,1,2024,1.9366
RE1,LNDMAIIRR,1,2025,2.3607
RE1,LNDMAIIRR,1,2026,2.7609
RE1,LNDMAIIRR,1,2027,3.1634
RE1,LNDMAIIRR,1,2028,3.5897
RE1,LNDMAIIRR,1,2029,4.016
RE1,LNDMAIIRR,1,2030,4.4445
RE1,LNDMAIIRR,1,2031,4.5681
RE1,LNDMAIIRR,1,2032,4.6918
RE1,LNDMAIIRR,1,2033,4.8155
RE1,LNDMAIIRR,1,2034,4.9391
RE1,LNDMAIIRR,1,2035,5.065
RE1,LNDRICIRR,1,2020,0.55
RE1,LNDRICIRR,1,2021,0.6373
RE1,LNDRICIRR,1,2022,0.744
RE1,LNDRICIRR,1,2023,0.8511
RE1,LNDRICIRR,1,2024,0.9591
RE1,LNDRICIRR,1,2025,1.0677
RE1,LNDRICIRR,1,2026,1.1766
RE1,LNDRICIRR,1,2027,1.2855
RE1,LNDRICIRR,1,2028,1.3954
RE1,LNDRICIRR,1,2029,1.5067
RE1,LNDRICIRR,1,2030,1.6175
RE1,LNDRICIRR,1,2031,1.6498
RE1,LNDRICIRR,1,2032,1.6829
RE1,LNDRICIRR,1,2033,1.7171
RE1,LNDRICIRR,1,2034,1.7512
RE1,LNDRICIRR,1,2035,1.7862
RE1,LNDFOR,1,2020,253.6
RE1,LNDFOR,1,2021,253.4329
RE1,LNDFOR,1,2022,253.3788
RE1,LNDFOR,1,2023,253.2256
RE1,LNDFOR,1,2024,253.1693
RE1,LNDFOR,1,2025,252.9897
RE1,LNDFOR,1,2026,252.9324
RE1,LNDFOR,1,2027,252.773
RE1,LNDFOR,1,2028,252.6889
RE1,LNDFOR,1,2029,252.5043
RE1,LNDFOR,1,2030,227.1043
RE1,LNDFOR,1,2031,227.1043
RE1,LNDFOR,1,2032,227.1043
RE1,LNDFOR,1,2033,227.1043
RE1,LNDFOR,1,2034,227.1043
RE1,LNDFOR,1,2035,227.1043
RE1,LNDBLT,1,2020,15.0
RE1,LNDBLT,1,2021,15.2
RE1,LNDBLT,1,2022,15.3
RE1,LNDBLT,1,2023,15.5
RE1,LNDBLT,1,2024,15.6
RE1,LNDBLT,1,2025,15.8
RE1,LNDBLT,1,2026,15.9
RE1,LNDBLT,1,2027,16.1
RE1,LNDBLT,1,2028,16.2
RE1,LNDBLT,1,2029,16.4
RE1,LNDBLT,1,2030,16.6
RE1,LNDBLT,1,2031,16.7
RE1,LNDBLT,1,2032,16.9
RE1,LNDBLT,1,2033,17.1
RE1,LNDBLT,1,2034,17.2
RE1,LNDBLT,1,2035,17.4
RE1,LNDWAT,1,2020,25.021
RE1,LNDWAT,1,2021,25.021
RE1,LNDWAT,1,2022,25.021
RE1,LNDWAT,1,2023,25.021
RE1,LNDWAT,1,2024,25.021
