r,l,t,f,y,UseByTechnology
RE1,S11,LNDMAIHR,LND,2029,0
RE1,S11,LNDMAIHR,LND,2030,0
RE1,S11,LNDMAIHR,LND,2031,0
RE1,S11,LNDMAIHR,LND,2032,0
RE1,S11,LNDMAIHR,LND,2033,0
RE1,S11,LNDMAIHR,LND,2034,0
RE1,S11,LNDMAIHR,LND,2035,0
RE1,S11,LNDMAIHR,WTRPRC,2020,0
RE1,S11,LNDMAIHR,WTRPRC,2021,0
RE1,S11,LNDMAIHR,WTRPRC,2022,0
RE1,S11,LNDMAIHR,WTRPRC,2023,0
RE1,S11,LNDMAIHR,WTRPRC,2024,0
RE1,S11,LNDMAIHR,WTRPRC,2025,0
RE1,S11,LNDMAIHR,WTRPRC,2026,0
RE1,S11,LNDMAIHR,WTRPRC,2027,0
RE1,S11,LNDMAIHR,WTRPRC,2028,0
RE1,S11,LNDMAIHR,WTRPRC,2029,0
RE1,S11,LNDMAIHR,WTRPRC,2030,0
RE1,S11,LNDMAIHR,WTRPRC,2031,0
RE1,S11,LNDMAIHR,WTRPRC,2032,0
RE1,S11,LNDMAIHR,WTRPRC,2033,0
RE1,S11,LNDMAIHR,WTRPRC,2034,0
RE1,S11,LNDMAIHR,WTRPRC,2035,0
RE1,S11,LNDRICHI,LND,2020,0
RE1,S11,LNDRICHI,LND,2021,0
RE1,S11,LNDRICHI,LND,2022,0
RE1,S11,LNDRICHI,LND,2023,0
RE1,S11,LNDRICHI,LND,2024,0
RE1,S11,LNDRICHI,LND,2025,0
RE1,S11,LNDRICHI,LND,2026,0
RE1,S11,LNDRICHI,LND,2027,0
RE1,S11,LNDRICHI,LND,2028,0
RE1,S11,LNDRICHI,LND,2029,0
RE1,S11,LNDRICHI,LND,2030,0
RE1,S11,LNDRICHI,LND,2031,0
RE1,S11,LNDRICHI,LND,2032,0
RE1,S11,LNDRICHI,LND,2033,0
RE1,S11,LNDRICHI,LND,2034,0
RE1,S11,LNDRICHI,LND,2035,0
RE1,S11,LNDRICHI,WTRPRC,2020,0
RE1,S11,LNDRICHI,WTRPRC,2021,0
RE1,S11,LNDRICHI,WTRPRC,2022,0
RE1,S11,LNDRICHI,WTRPRC,2023,0
RE1,S11,LNDRICHI,WTRPRC,2024,0
RE1,S11,LNDRICHI,WTRPRC,2025,0
RE1,S11,LNDRICHI,WTRPRC,2026,0
RE1,S11,LNDRICHI,WTRPRC,2027,0
RE1,S11,LNDRICHI,WTRPRC,2028,0
RE1,S11,LNDRICHI,WTRPRC,2029,0
RE1,S11,LNDRICHI,WTRPRC,2030,0
RE1,S11,LNDRICHI,WTRPRC,2031,0
RE1,S11,LNDRICHI,WTRPRC,2032,0
RE1,S11,LNDRICHI,WTRPRC,2033,0
RE1,S11,LNDRICHI,WTRPRC,2034,0
RE1,S11,LNDRICHI,WTRPRC,2035,0
RE1,S11,LNDRICHR,LND,2020,0
RE1,S11,LNDRICHR,LND,2021,0
RE1,S11,LNDRICHR,LND,2022,0
RE1,S11,LNDRICHR,LND,2023,0
RE1,S11,LNDRICHR,LND,2024,0
RE1,S11,LNDRICHR,LND,2025,0
RE1,S11,LNDRICHR,LND,2026,0
RE1,S11,LNDRICHR,LND,2027,0
RE1,S11,LNDRICHR,LND,2028,0
RE1,S11,LNDRICHR,LND,2029,0
RE1,S11,LNDRICHR,LND,2030,0
RE1,S11,LNDRICHR,LND,2031,0
RE1,S11,LNDRICHR,LND,2032,0
RE1,S11,LNDRICHR,LND,2033,0
RE1,S11,LNDRICHR,LND,2034,0
RE1,S11,LNDRICHR,LND,2035,0
RE1,S11,LNDRICHR,WTRPRC,2020,0
RE1,S11,LNDRICHR,WTRPRC,2021,0
RE1,S11,LNDRICHR,WTRPRC,2022,0
RE1,S11,LNDRICHR,WTRPRC,2023,0
RE1,S11,LNDRICHR,WTRPRC,2024,0
RE1,S11,LNDRICHR,WTRPRC,2025,0
RE1,S11,LNDRICHR,WTRPRC,2026,0
RE1,S11,LNDRICHR,WTRPRC,2027,0
RE1,S11,LNDRICHR,WTRPRC,2028,0
RE1,S11,LNDRICHR,WTRPRC,2029,0
RE1,S11,LNDRICHR,WTRPRC,2030,0
RE1,S11,LNDRICHR,WTRPRC,2031,0
RE1,S11,LNDRICHR,WTRPRC,2032,0
RE1,S11,LNDRICHR,WTRPRC,2033,0
RE1,S11,LNDRICHR,WTRPRC,2034,0
RE1,S11,LNDRICHR,WTRPRC,2035,0
RE1,S11,LNDWAT,LND,2020,0
RE1,S11,LNDWAT,LND,2021,0
RE1,S11,LNDWAT,LND,2022,0
RE1,S11,LNDWAT,LND,2023,0
RE1,S11,LNDWAT,LND,2024,0
RE1,S11,LNDWAT,LND,2025,0
RE1,S11,LNDWAT,LND,2026,0
RE1,S11,LNDWAT,LND,2027,0
RE1,S11,LNDWAT,LND,2028,0
RE1,S11,LNDWAT,LND,2029,0
RE1,S11,LNDWAT,LND,2030,0
RE1,S11,LNDWAT,LND,2031,0
RE1,S11,LNDWAT,LND,2032,0
RE1,S11,LNDWAT,LND,2033,0
RE1,S11,LNDWAT,LND,2034,0
RE1,S11,LNDWAT,LND,2035,0
RE1,S11,LNDWAT,WTRPRC,2020,0
RE1,S11,LNDWAT,WTRPRC,2021,0
RE1,S11,LNDWAT,WTRPRC,2022,0
RE1,S11,LNDWAT,WTRPRC,2023,0
RE1,S11,LNDWAT,WTRPRC,2024,0
RE1,S11,LNDWAT,WTRPRC,2025,0
RE1,S11,LNDWAT,WTRPRC,2026,0
RE1,S11,LNDWAT,WTRPRC,2027,0
RE1,S11,LNDWAT,WTRPRC,2028,0
RE1,S11,LNDWAT,WTRPRC,2029,0
RE1,S11,LNDWAT,WTRPRC,2030,0
RE1,S11,LNDWAT,WTRPRC,2031,0
RE1,S11,LNDWAT,WTRPRC,2032,0
RE1,S11,LNDWAT,WTRPRC,2033,0
RE1,S11,LNDWAT,WTRPRC,2034,0
RE1,S11,LNDWAT,WTRPRC,2035,0
RE1,S11,PWRCOA,COA,2020,0
RE1,S11,PWRCOA,COA,2021,0
RE1,S11,PWRCOA,COA,2022,0
RE1,S11,PWRCOA,COA,2023,0
RE1,S11,PWRCOA,COA,2024,0
RE1,S11,PWRCOA,COA,2025,0
RE1,S11,PWRCOA,COA,2026,0
RE1,S11,PWRCOA,COA,2027,0
RE1,S11,PWRCOA,COA,2028,0
RE1,S11,PWRCOA,COA,2029,0
RE1,S11,PWRCOA,COA,2030,0
RE1,S11,PWRCOA,COA,2031,0
RE1,S11,PWRCOA,COA,2032,0
RE1,S11,PWRCOA,COA,2033,0
RE1,S11,PWRCOA,COA,2034,0
RE1,S11,PWRCOA,COA,2035,0
RE1,S11,PWRGAS,GAS,2020,0
RE1,S11,PWRGAS,GAS,2021,0
RE1,S11,PWRGAS,GAS,2022,0
RE1,S11,PWRGAS,GAS,2023,0
RE1,S11,PWRGAS,GAS,2024,0
RE1,S11,PWRGAS,GAS,2025,0
RE1,S11,PWRGAS,GAS,2026,0
RE1,S11,PWRGAS,GAS,2027,0
RE1,S11,PWRGAS,GAS,2028,0
RE1,S11,PWRGAS,GAS,2029,0
RE1,S11,PWRGAS,GAS,2030,0
RE1,S11,PWRGAS,GAS,2031,0
RE1,S11,PWRGAS,GAS,2032,0
RE1,S11,PWRGAS,GAS,2033,0
RE1,S11,PWRGAS,GAS,2034,0
RE1,S11,PWRGAS,GAS,2035,0
RE1,S11,PWRHYD,HYD,2020,0
RE1,S11,PWRHYD,HYD,2021,0
RE1,S11,PWRHYD,HYD,2022,0
RE1,S11,PWRHYD,HYD,2023,0
RE1,S11,PWRHYD,HYD,2024,0
RE1,S11,PWRHYD,HYD,2025,0
RE1,S11,PWRHYD,HYD,2026,0
RE1,S11,PWRHYD,HYD,2027,0
RE1,S11,PWRHYD,HYD,2028,0
RE1,S11,PWRHYD,HYD,2029,0
RE1,S11,PWRHYD,HYD,2030,0
RE1,S11,PWRHYD,HYD,2031,0
RE1,S11,PWRHYD,HYD,2032,0
RE1,S11,PWRHYD,HYD,2033,0
RE1,S11,PWRHYD,HYD,2034,0
RE1,S11,PWRHYD,HYD,2035,0
RE1,S11,PWRSOL,SOL,2020,0
RE1,S11,PWRSOL,SOL,2021,0
RE1,S11,PWRSOL,SOL,2022,0
RE1,S11,PWRSOL,SOL,2023,0
RE1,S11,PWRSOL,SOL,2024,0
RE1,S11,PWRSOL,SOL,2025,0
RE1,S11,PWRSOL,SOL,2026,0
RE1,S11,PWRSOL,SOL,2027,0
RE1,S11,PWRSOL,SOL,2028,0
RE1,S11,PWRSOL,SOL,2029,0
RE1,S11,PWRSOL,SOL,2030,0
RE1,S11,PWRSOL,SOL,2031,0
RE1,S11,PWRSOL,SOL,2032,0
RE1,S11,PWRSOL,SOL,2033,0
RE1,S11,PWRSOL,SOL,2034,0
RE1,S11,PWRSOL,SOL,2035,0
RE1,S11,PWRTRN,ELC001,2020,0
RE1,S11,PWRTRN,ELC001,2021,0
RE1,S11,PWRTRN,ELC001,2022,0
RE1,S11,PWRTRN,ELC001,2023,0
RE1,S11,PWRTRN,ELC001,2024,0
RE1,S11,PWRTRN,ELC001,2025,0
RE1,S11,PWRTRN,ELC001,2026,0
RE1,S11,PWRTRN,ELC001,2027,0
RE1,S11,PWRTRN,ELC001,2028,0
RE1,S11,PWRTRN,ELC001,2029,0
RE1,S11,PWRTRN,ELC001,2030,0
RE1,S11,PWRTRN,ELC001,2031,0
RE1,S11,PWRTRN,ELC001,2032,0
RE1,S11,PWRTRN,ELC001,2033,0
RE1,S11,PWRTRN,ELC001,2034,0
RE1,S11,PWRTRN,ELC001,2035,0
RE1,S11,PWRWND,WND,2020,0
RE1,S11,PWRWND,WND,2021,0
RE1,S11,PWRWND,WND,2022,0
RE1,S11,PWRWND,WND,2023,0
RE1,S11,PWRWND,WND,2024,0
RE1,S11,PWRWND,WND,2025,0
RE1,S11,PWRWND,WND,2026,0
RE1,S11,PWRWND,WND,2027,0
RE1,S11,PWRWND,WND,2028,0
RE1,S11,PWRWND,WND,2029,0
RE1,S11,PWRWND,WND,2030,0
RE1,S11,PWRWND,WND,2031,0
RE1,S11,PWRWND,WND,2032,0
RE1,S11,PWRWND,WND,2033,0
RE1,S11,PWRWND,WND,2034,0
RE1,S11,PWRWND,WND,2035,0
RE1,S12,LNDBLT,LND,2020,0
RE1,S12,LNDBLT,LND,2021,0
RE1,S12,LNDBLT,LND,2022,0
RE1,S12,LNDBLT,LND,2023,0
RE1,S12,LNDBLT,LND,2024,0
RE1,S12,LNDBLT,LND,2025,0
RE1,S12,LNDBLT,LND,2026,0
RE1,S12,LNDBLT,LND,2027,0
RE1,S12,LNDBLT,LND,2028,0
RE1,S12,LNDBLT,LND,2029,0
RE1,S12,LNDBLT,LND,2030,0
RE1,S12,LNDBLT,LND,2031,0
RE1,S12,LNDBLT,LND,2032,0
RE1,S12,LNDBLT,LND,2033,0
RE1,S12,LNDBLT,LND,2034,0
RE1,S12,LNDBLT,LND,2035,0
RE1,S12,LNDBLT,WTRPRC,2020,0
RE1,S12,LNDBLT,WTRPRC,2021,0
RE1,S12,LNDBLT,WTRPRC,2022,0
RE1,S12,LNDBLT,WTRPRC,2023,0
RE1,S12,LNDBLT,WTRPRC,2024,0
RE1,S12,LNDBLT,WTRPRC,2025,0
RE1,S12,LNDBLT,WTRPRC,2026,0
RE1,S12,LNDBLT,WTRPRC,2027,0
RE1,S12,LNDBLT,WTRPRC,2028,0
RE1,S12,LNDBLT,WTRPRC,2029,0
RE1,S12,LNDBLT,WTRPRC,2030,0
RE1,S12,LNDBLT,WTRPRC,2031,0
RE1,S12,LNDBLT,WTRPRC,2032,0
RE1,S12,LNDBLT,WTRPRC,2033,0
RE1,S12,LNDBLT,WTRPRC,2034,0
RE1,S12,LNDBLT,WTRPRC,2035,0
RE1,S12,LNDFOR,LND,2020,0
RE1,S12,LNDFOR,LND,2021,0
RE1,S12,LNDFOR,LND,2022,0
RE1,S12,LNDFOR,LND,2023,0
RE1,S12,LNDFOR,LND,2024,0
RE1,S12,LNDFOR,LND,2025,0
RE1,S12,LNDFOR,LND,2026,0
RE1,S12,LNDFOR,LND,2027,0
RE1,S12,LNDFOR,LND,2028,0
RE1,S12,LNDFOR,LND,2029,0
RE1,S12,LNDFOR,LND,2030,0
RE1,S12,LNDFOR,LND,2031,0
RE1,S12,LNDFOR,LND,2032,0
RE1,S12,LNDFOR,LND,2033,0
RE1,S12,LNDFOR,LND,2034,0
RE1,S12,LNDFOR,LND,2035,0
RE1,S12,LNDFOR,WTRPRC,2020,0
RE1,S12,LNDFOR,WTRPRC,2021,0
RE1,S12,LNDFOR,WTRPRC,2022,0
RE1,S12,LNDFOR,WTRPRC,2023,0
RE1,S12,LNDFOR,WTRPRC,2024,0
RE1,S12,LNDFOR,WTRPRC,2025,0
RE1,S12,LNDFOR,WTRPRC,2026,0
RE1,S12,LNDFOR,WTRPRC,2027,0
RE1,S12,LNDFOR,WTRPRC,2028,0
RE1,S12,LNDFOR,WTRPRC,2029,0
RE1,S12,LNDFOR,WTRPRC,2030,0
RE1,S12,LNDFOR,WTRPRC,2031,0
RE1,S12,LNDFOR,WTRPRC,2032,0
RE1,S12,LNDFOR,WTRPRC,2033,0
RE1,S12,LNDFOR,WTRPRC,2034,0
RE1,S12,LNDFOR,WTRPRC,2035,0
RE1,S12,LNDMAIHI,LND,2020,0
RE1,S12,LNDMAIHI,LND,2021,0
RE1,S12,LNDMAIHI,LND,2022,0
RE1,S12,LNDMAIHI,LND,2023,0
RE1,S12,LNDMAIHI,LND,2024,0
RE1,S12,LNDMAIHI,LND,2025,0
RE1,S12,LNDMAIHI,LND,2026,0
RE1,S12,LNDMAIHI,LND,2027,0
RE1,S12,LNDMAIHI,LND,2028,0
RE1,S12,LNDMAIHI,LND,2029,0
RE1,S12,LNDMAIHI,LND,2030,0
RE1,S12,LNDMAIHI,LND,2031,0
RE1,S12,LNDMAIHI,LND,2032,0
RE1,S12,LNDMAIHI,LND,2033,0
RE1,S12,LNDMAIHI,LND,2034,0
RE1,S12,LNDMAIHI,LND,2035,0
RE1,S12,LNDMAIHI,WTRPRC,2020,0
RE1,S12,LNDMAIHI,WTRPRC,2021,0
RE1,S12,LNDMAIHI,WTRPRC,2022,0
RE1,S12,LNDMAIHI,WTRPRC,2023,0
RE1,S12,LNDMAIHI,WTRPRC,2024,0
RE1,S12,LNDMAIHI,WTRPRC,2025,0
RE1,S12,LNDMAIHI,WTRPRC,2026,0
RE1,S12,LNDMAIHI,WTRPRC,2027,0
RE1,S12,LNDMAIHI,WTRPRC,2028,0
RE1,S12,LNDMAIHI,WTRPRC,2029,0
RE1,S12,LNDMAIHI,WTRPRC,2030,0
RE1,S12,LNDMAIHI,WTRPRC,2031,0
RE1,S12,LNDMAIHI,WTRPRC,2032,0
RE1,S12,LNDMAIHI,WTRPRC,2033,0
RE1,S12,LNDMAIHI,WTRPRC,2034,0
RE1,S12,LNDMAIHI,WTRPRC,2035,0
RE1,S12,LNDMAIHR,LND,2020,0
RE1,S12,LNDMAIHR,LND,2021,0
RE1,S12,LNDMAIHR,LND,2022,0
RE1,S12,LNDMAIHR,LND,2023,0
RE1,S12,LNDMAIHR,LND,2024,0
RE1,S12,LNDMAIHR,LND,2025,0
RE1,S12,LNDMAIHR,LND,2026,0
RE1,S12,LNDMAIHR,LND,2027,0
RE1,S12,LNDMAIHR,LND,2028,0
RE1,S12,LNDMAIHR,LND,2029,0
RE1,S12,LNDMAIHR,LND,2030,0
RE1,S12,LNDMAIHR,LND,2031,0
RE1,S12,LNDMAIHR,LND,2032,0
RE1,S12,LNDMAIHR,LND,2033,0
RE1,S12,LNDMAIHR,LND,2034,0
RE1,S12,LNDMAIHR,LND,2035,0
RE1,S12,LNDMAIHR,WTRPRC,2020,0
RE1,S12,LNDMAIHR,WTRPRC,2021,0
RE1,S12,LNDMAIHR,WTRPRC,2022,0
RE1,S12,LNDMAIHR,WTRPRC,2023,0
RE1,S12,LNDMAIHR,WTRPRC,2024,0
RE1,S12,LNDMAIHR,WTRPRC,2025,0
RE1,S12,LNDMAIHR,WTRPRC,2026,0
RE1,S12,LNDMAIHR,WTRPRC,2027,0
RE1,S12,LNDMAIHR,WTRPRC,2028,0
RE1,S12,LNDMAIHR,WTRPRC,2029,0
RE1,S12,LNDMAIHR,WTRPRC,2030,0
RE1,S12,LNDMAIHR,WTRPRC,2031,0
RE1,S12,LNDMAIHR,WTRPRC,2032,0
RE1,S12,LNDMAIHR,WTRPRC,2033,0
RE1,S12,LNDMAIHR,WTRPRC,2034,0
RE1,S12,LNDMAIHR,WTRPRC,2035,0
RE1,S12,LNDRICHI,LND,2020,0
RE1,S12,LNDRICHI,LND,2021,0
RE1,S12,LNDRICHI,LND,2022,0
RE1,S12,LNDRICHI,LND,2023,0
RE1,S12,LNDRICHI,LND,2024,0
RE1,S12,LNDRICHI,LND,2025,0
RE1,S12,LNDRICHI,LND,2026,0
RE1,S12,LNDRICHI,LND,2027,0
RE1,S12,LNDRICHI,LND,2028,0
RE1,S12,LNDRICHI,LND,2029,0
RE1,S12,LNDRICHI,LND,2030,0
RE1,S12,LNDRICHI,LND,2031,0
RE1,S12,LNDRICHI,LND,2032,0
RE1,S12,LNDRICHI,LND,2033,0
RE1,S12,LNDRICHI,LND,2034,0
RE1,S12,LNDRICHI,LND,2035,0
RE1,S12,LNDRICHI,WTRPRC,2020,0
RE1,S12,LNDRICHI,WTRPRC,2021,0
RE1,S12,LNDRICHI,WTRPRC,2022,0
RE1,S12,LNDRICHI,WTRPRC,2023,0
RE1,S12,LNDRICHI,WTRPRC,2024,0
RE1,S12,LNDRICHI,WTRPRC,2025,0
RE1,S12,LNDRICHI,WTRPRC,2026,0
RE1,S12,LNDRICHI,WTRPRC,2027,0
RE1,S12,LNDRICHI,WTRPRC,2028,0
RE1,S12,LNDRICHI,WTRPRC,2029,0
RE1,S12,LNDRICHI,WTRPRC,2030,0
RE1,S12,LNDRICHI,WTRPRC,2031,0
RE1,S12,LNDRICHI,WTRPRC,2032,0
RE1,S12,LNDRICHI,WTRPRC,2033,0
RE1,S12,LNDRICHI,WTRPRC,2034,0
RE1,S12,LNDRICHI,WTRPRC,2035,0
RE1,S12,LNDRICHR,LND,2020,0
RE1,S12,LNDRICHR,LND,2021,0
RE1,S12,LNDRICHR,LND,2022,0
RE1,S12,LNDRICHR,LND,2023,0
RE1,S12,LNDRICHR,LND,2024,0
RE1,S12,LNDRICHR,LND,2025,0
RE1,S12,LNDRICHR,LND,2026,0
RE1,S12,LNDRICHR,LND,2027,0
RE1,S12,LNDRICHR,LND,2028,0
RE1,S12,LNDRICHR,LND,2029,0
RE1,S12,LNDRICHR,LND,2030,0
RE1,S12,LNDRICHR,LND,2031,0
RE1,S12,LNDRICHR,LND,2032,0
RE1,S12,LNDRICHR,LND,2033,0
RE1,S12,LNDRICHR,LND,2034,0
RE1,S12,LNDRICHR,LND,2035,0
RE1,S12,LNDRICHR,WTRPRC,2020,0
RE1,S12,LNDRICHR,WTRPRC,2021,0
RE1,S12,LNDRICHR,WTRPRC,2022,0
RE1,S12,LNDRICHR,WTRPRC,2023,0
RE1,S12,LNDRICHR,WTRPRC,2024,0
RE1,S12,LNDRICHR,WTRPRC,2025,0
RE1,S12,LNDRICHR,WTRPRC,2026,0
RE1,S12,LNDRICHR,WTRPRC,2027,0
RE1,S12,LNDRICHR,WTRPRC,2028,0
RE1,S12,LNDRICHR,WTRPRC,2029,0
RE1,S12,LNDRICHR,WTRPRC,2030,0
RE1,S12,LNDRICHR,WTRPRC,2031,0
RE1,S12,LNDRICHR,WTRPRC,2032,0
RE1,S12,LNDRICHR,WTRPRC,2033,0
RE1,S12,LNDRICHR,WTRPRC,2034,0
RE1,S12,LNDRICHR,WTRPRC,2035,0
RE1,S12,LNDWAT,LND,2020,0
RE1,S12,LNDWAT,LND,2021,0
RE1,S12,LNDWAT,LND,2022,0
RE1,S12,LNDWAT,LND,2023,0
RE1,S12,LNDWAT,LND,2024,0
RE1,S12,LNDWAT,LND,2025,0
RE1,S12,LNDWAT,LND,2026,0
RE1,S12,LNDWAT,LND,2027,0
RE1,S12,LNDWAT,LND,2028,0
RE1,S12,LNDWAT,LND,2029,0
RE1,S12,LNDWAT,LND,2030,0
RE1,S12,LNDWAT,LND,2031,0
RE1,S12,LNDWAT,LND,2032,0
RE1,S12,LNDWAT,LND,2033,0
RE1,S12,LNDWAT,LND,2034,0
RE1,S12,LNDWAT,LND,2035,0
RE1,S12,LNDWAT,WTRPRC,2020,0
RE1,S12,LNDWAT,WTRPRC,2021,0
RE1,S12,LNDWAT,WTRPRC,2022,0
RE1,S12,LNDWAT,WTRPRC,2023,0
RE1,S12,LNDWAT,WTRPRC,2024,0
RE1,S12,LNDWAT,WTRPRC,2025,0
RE1,S12,LNDWAT,WTRPRC,2026,0
RE1,S12,LNDWAT,WTRPRC,2027,0
RE1,S12,LNDWAT,WTRPRC,2028,0
RE1,S12,LNDWAT,WTRPRC,2029,0
RE1,S12,LNDWAT,WTRPRC,2030,0
RE1,S12,LNDWAT,WTRPRC,2031,0
RE1,S12,LNDWAT,WTRPRC,2032,0
RE1,S12,LNDWAT,WTRPRC,2033,0
RE1,S12,LNDWAT,WTRPRC,2034,0
RE1,S12,LNDWAT,WTRPRC,2035,0
RE1,S12,PWRCOA,COA,2020,0
RE1,S12,PWRCOA,COA,2021,0
RE1,S12,PWRCOA,COA,2022,0
RE1,S12,PWRCOA,COA,2023,0
RE1,S12,PWRCOA,COA,2024,0
RE1,S12,PWRCOA,COA,2025,0
RE1,S12,PWRCOA,COA,2026,0
RE1,S12,PWRCOA,COA,2027,0
RE1,S12,PWRCOA,COA,2028,0
RE1,S12,PWRCOA,COA,2029,0
RE1,S12,PWRCOA,COA,2030,0
RE1,S12,PWRCOA,COA,2031,0
RE1,S12,PWRCOA,COA,2032,0
RE1,S12,PWRCOA,COA,2033,0
RE1,S12,PWRCOA,COA,2034,0
RE1,S12,PWRCOA,COA,2035,0
RE1,S12,PWRGAS,GAS,2020,0
RE1,S12,PWRGAS,GAS,2021,0
RE1,S12,PWRGAS,GAS,2022,0
RE1,S12,PWRGAS,GAS,2023,0
RE1,S12,PWRGAS,GAS,2024,0
RE1,S12,PWRGAS,GAS,2025,0
RE1,S12,PWRGAS,GAS,2026,0
RE1,S12,PWRGAS,GAS,2027,0
RE1,S12,PWRGAS,GAS,2028,0
RE1,S12,PWRGAS,GAS,2029,0
RE1,S12,PWRGAS,GAS,2030,0
RE1,S12,PWRGAS,GAS,2031,0
RE1,S12,PWRGAS,GAS,2032,0
