t,f,m,y,l,r,RateOfProductionByTechnology
DEMAGRDSL,AGRDSL,1,2020,S11,RE1,2.0597
DEMAGRDSL,AGRDSL,1,2021,S11,RE1,2.1353
DEMAGRDSL,AGRDSL,1,2022,S11,RE1,2.2212
DEMAGRDSL,AGRDSL,1,2023,S11,RE1,2.3064
DEMAGRDSL,AGRDSL,1,2024,S11,RE1,2.3932
DEMAGRDSL,AGRDSL,1,2025,S11,RE1,2.4916
DEMAGRDSL,AGRDSL,1,2026,S11,RE1,2.5788
DEMAGRDSL,AGRDSL,1,2027,S11,RE1,2.6672
DEMAGRDSL,AGRDSL,1,2028,S11,RE1,2.7676
DEMAGRDSL,AGRDSL,1,2029,S11,RE1,2.8684
DEMAGRDSL,AGRDSL,1,2030,S11,RE1,2.9704
DEMAGRDSL,AGRDSL,1,2031,S11,RE1,3.0468
DEMAGRDSL,AGRDSL,1,2032,S11,RE1,3.1236
DEMAGRDSL,AGRDSL,1,2033,S11,RE1,3.2009
DEMAGRDSL,AGRDSL,1,2034,S11,RE1,3.2782
DEMAGRDSL,AGRDSL,1,2035,S11,RE1,3.3571
DEMAGRGWTWAT,AGRWAT,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2022,S11,RE1,0.1163
DEMAGRGWTWAT,AGRWAT,1,2023,S11,RE1,0.245
DEMAGRGWTWAT,AGRWAT,1,2024,S11,RE1,0.21
DEMAGRGWTWAT,AGRWAT,1,2025,S11,RE1,0.175
DEMAGRGWTWAT,AGRWAT,1,2026,S11,RE1,0.14
DEMAGRGWTWAT,AGRWAT,1,2027,S11,RE1,0.105
DEMAGRGWTWAT,AGRWAT,1,2028,S11,RE1,0.07
DEMAGRGWTWAT,AGRWAT,1,2029,S11,RE1,0.035
DEMAGRGWTWAT,AGRWAT,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,AGRWAT,1,2035,S11,RE1,0.0
DEMAGRSURWAT,AGRWAT,1,2020,S11,RE1,0.3494
DEMAGRSURWAT,AGRWAT,1,2021,S11,RE1,0.5081
DEMAGRSURWAT,AGRWAT,1,2022,S11,RE1,0.56
DEMAGRSURWAT,AGRWAT,1,2023,S11,RE1,0.5988
DEMAGRSURWAT,AGRWAT,1,2024,S11,RE1,0.8026
DEMAGRSURWAT,AGRWAT,1,2025,S11,RE1,1.0137
DEMAGRSURWAT,AGRWAT,1,2026,S11,RE1,1.2178
DEMAGRSURWAT,AGRWAT,1,2027,S11,RE1,1.4225
DEMAGRSURWAT,AGRWAT,1,2028,S11,RE1,1.6348
DEMAGRSURWAT,AGRWAT,1,2029,S11,RE1,1.8479
DEMAGRSURWAT,AGRWAT,1,2030,S11,RE1,2.0612
DEMAGRSURWAT,AGRWAT,1,2031,S11,RE1,2.1128
DEMAGRSURWAT,AGRWAT,1,2032,S11,RE1,2.1649
DEMAGRSURWAT,AGRWAT,1,2033,S11,RE1,2.2173
DEMAGRSURWAT,AGRWAT,1,2034,S11,RE1,2.2698
DEMAGRSURWAT,AGRWAT,1,2035,S11,RE1,2.3233
DEMPUBGWTWAT,PUBWAT,1,2020,S11,RE1,0.6013
DEMPUBGWTWAT,PUBWAT,1,2021,S11,RE1,0.6082
DEMPUBGWTWAT,PUBWAT,1,2022,S11,RE1,0.6044
DEMPUBGWTWAT,PUBWAT,1,2023,S11,RE1,0.6004
DEMPUBGWTWAT,PUBWAT,1,2024,S11,RE1,0.5962
DEMPUBGWTWAT,PUBWAT,1,2025,S11,RE1,0.5919
DEMPUBGWTWAT,PUBWAT,1,2026,S11,RE1,0.5874
DEMPUBGWTWAT,PUBWAT,1,2027,S11,RE1,0.5827
DEMPUBGWTWAT,PUBWAT,1,2028,S11,RE1,0.5778
DEMPUBGWTWAT,PUBWAT,1,2029,S11,RE1,0.5726
DEMPUBGWTWAT,PUBWAT,1,2030,S11,RE1,0.5673
DEMPUBGWTWAT,PUBWAT,1,2031,S11,RE1,0.5618
DEMPUBGWTWAT,PUBWAT,1,2032,S11,RE1,0.556
DEMPUBGWTWAT,PUBWAT,1,2033,S11,RE1,0.5499
DEMPUBGWTWAT,PUBWAT,1,2034,S11,RE1,0.5436
DEMPUBGWTWAT,PUBWAT,1,2035,S11,RE1,0.537
DEMPUBSURWAT,PUBWAT,1,2020,S11,RE1,0.664
DEMPUBSURWAT,PUBWAT,1,2021,S11,RE1,0.7464
DEMPUBSURWAT,PUBWAT,1,2022,S11,RE1,0.8448
DEMPUBSURWAT,PUBWAT,1,2023,S11,RE1,0.9458
DEMPUBSURWAT,PUBWAT,1,2024,S11,RE1,1.0508
DEMPUBSURWAT,PUBWAT,1,2025,S11,RE1,1.1611
DEMPUBSURWAT,PUBWAT,1,2026,S11,RE1,1.2754
DEMPUBSURWAT,PUBWAT,1,2027,S11,RE1,1.3938
DEMPUBSURWAT,PUBWAT,1,2028,S11,RE1,1.5187
DEMPUBSURWAT,PUBWAT,1,2029,S11,RE1,1.6477
DEMPUBSURWAT,PUBWAT,1,2030,S11,RE1,1.7833
DEMPUBSURWAT,PUBWAT,1,2031,S11,RE1,1.9242
DEMPUBSURWAT,PUBWAT,1,2032,S11,RE1,2.0704
DEMPUBSURWAT,PUBWAT,1,2033,S11,RE1,2.2233
DEMPUBSURWAT,PUBWAT,1,2034,S11,RE1,2.3828
DEMPUBSURWAT,PUBWAT,1,2035,S11,RE1,2.5502
DEMPWRSURWAT,PWRWAT,1,2020,S11,RE1,0.0254
DEMPWRSURWAT,PWRWAT,1,2021,S11,RE1,0.0257
DEMPWRSURWAT,PWRWAT,1,2022,S11,RE1,0.0263
DEMPWRSURWAT,PWRWAT,1,2023,S11,RE1,0.0269
DEMPWRSURWAT,PWRWAT,1,2024,S11,RE1,0.0271
DEMPWRSURWAT,PWRWAT,1,2025,S11,RE1,0.0271
DEMPWRSURWAT,PWRWAT,1,2026,S11,RE1,0.0271
DEMPWRSURWAT,PWRWAT,1,2027,S11,RE1,0.0268
DEMPWRSURWAT,PWRWAT,1,2028,S11,RE1,0.0253
DEMPWRSURWAT,PWRWAT,1,2029,S11,RE1,0.0245
DEMPWRSURWAT,PWRWAT,1,2030,S11,RE1,0.0214
DEMPWRSURWAT,PWRWAT,1,2031,S11,RE1,0.0199
DEMPWRSURWAT,PWRWAT,1,2032,S11,RE1,0.0175
DEMPWRSURWAT,PWRWAT,1,2033,S11,RE1,0.0154
DEMPWRSURWAT,PWRWAT,1,2034,S11,RE1,0.0113
DEMPWRSURWAT,PWRWAT,1,2035,S11,RE1,0.0079
DEMTRABIO,TRABIO,1,2020,S11,RE1,9.9997
DEMTRABIO,TRABIO,1,2021,S11,RE1,10.3002
DEMTRABIO,TRABIO,1,2022,S11,RE1,10.5998
DEMTRABIO,TRABIO,1,2023,S11,RE1,10.9003
DEMTRABIO,TRABIO,1,2024,S11,RE1,11.1999
DEMTRABIO,TRABIO,1,2025,S11,RE1,11.5999
DEMTRABIO,TRABIO,1,2026,S11,RE1,11.9004
DEMTRABIO,TRABIO,1,2027,S11,RE1,12.2
DEMTRABIO,TRABIO,1,2028,S11,RE1,12.6001
DEMTRABIO,TRABIO,1,2029,S11,RE1,13.0001
DEMTRABIO,TRABIO,1,2030,S11,RE1,13.4002
DEMTRABIO,TRABIO,1,2031,S11,RE1,13.8002
DEMTRABIO,TRABIO,1,2032,S11,RE1,14.2003
DEMTRABIO,TRABIO,1,2033,S11,RE1,14.6004
DEMTRABIO,TRABIO,1,2034,S11,RE1,15.0004
DEMTRABIO,TRABIO,1,2035,S11,RE1,15.3996
LNDBLT,LBLT,1,2020,S11,RE1,15.0
LNDBLT,LBLT,1,2021,S11,RE1,15.2
LNDBLT,LBLT,1,2022,S11,RE1,15.3
LNDBLT,LBLT,1,2023,S11,RE1,15.5
LNDBLT,LBLT,1,2024,S11,RE1,15.6
LNDBLT,LBLT,1,2025,S11,RE1,15.8
LNDBLT,LBLT,1,2026,S11,RE1,15.9
LNDBLT,LBLT,1,2027,S11,RE1,16.1
LNDBLT,LBLT,1,2028,S11,RE1,16.2
LNDBLT,LBLT,1,2029,S11,RE1,16.4
LNDBLT,LBLT,1,2030,S11,RE1,16.6
LNDBLT,LBLT,1,2031,S11,RE1,16.7
LNDBLT,LBLT,1,2032,S11,RE1,16.9
LNDBLT,LBLT,1,2033,S11,RE1,17.1
LNDBLT,LBLT,1,2034,S11,RE1,17.2
LNDBLT,LBLT,1,2035,S11,RE1,17.4
LNDBLT,WTREVT,1,2020,S11,RE1,11.25
LNDBLT,WTREVT,1,2021,S11,RE1,11.4
LNDBLT,WTREVT,1,2022,S11,RE1,11.475
LNDBLT,WTREVT,1,2023,S11,RE1,11.625
LNDBLT,WTREVT,1,2024,S11,RE1,11.7
LNDBLT,WTREVT,1,2025,S11,RE1,11.85
LNDBLT,WTREVT,1,2026,S11,RE1,11.925
LNDBLT,WTREVT,1,2027,S11,RE1,12.075
LNDBLT,WTREVT,1,2028,S11,RE1,12.15
LNDBLT,WTREVT,1,2029,S11,RE1,12.3
LNDBLT,WTREVT,1,2030,S11,RE1,12.45
LNDBLT,WTREVT,1,2031,S11,RE1,12.525
LNDBLT,WTREVT,1,2032,S11,RE1,12.675
LNDBLT,WTREVT,1,2033,S11,RE1,12.825
LNDBLT,WTREVT,1,2034,S11,RE1,12.9
LNDBLT,WTREVT,1,2035,S11,RE1,13.05
LNDBLT,WTRGWT,1,2020,S11,RE1,0.6
LNDBLT,WTRGWT,1,2021,S11,RE1,0.608
LNDBLT,WTRGWT,1,2022,S11,RE1,0.612
LNDBLT,WTRGWT,1,2023,S11,RE1,0.62
LNDBLT,WTRGWT,1,2024,S11,RE1,0.624
LNDBLT,WTRGWT,1,2025,S11,RE1,0.632
LNDBLT,WTRGWT,1,2026,S11,RE1,0.636
LNDBLT,WTRGWT,1,2027,S11,RE1,0.644
LNDBLT,WTRGWT,1,2028,S11,RE1,0.648
LNDBLT,WTRGWT,1,2029,S11,RE1,0.656
LNDBLT,WTRGWT,1,2030,S11,RE1,0.664
LNDBLT,WTRGWT,1,2031,S11,RE1,0.668
LNDBLT,WTRGWT,1,2032,S11,RE1,0.676
LNDBLT,WTRGWT,1,2033,S11,RE1,0.684
LNDBLT,WTRGWT,1,2034,S11,RE1,0.688
LNDBLT,WTRGWT,1,2035,S11,RE1,0.696
LNDBLT,WTRRUN,1,2020,S11,RE1,6.15
LNDBLT,WTRRUN,1,2021,S11,RE1,6.232
LNDBLT,WTRRUN,1,2022,S11,RE1,6.273
LNDBLT,WTRRUN,1,2023,S11,RE1,6.355
LNDBLT,WTRRUN,1,2024,S11,RE1,6.396
LNDBLT,WTRRUN,1,2025,S11,RE1,6.478
LNDBLT,WTRRUN,1,2026,S11,RE1,6.519
LNDBLT,WTRRUN,1,2027,S11,RE1,6.601
LNDBLT,WTRRUN,1,2028,S11,RE1,6.642
LNDBLT,WTRRUN,1,2029,S11,RE1,6.724
LNDBLT,WTRRUN,1,2030,S11,RE1,6.806
