t,f,m,y,l,r,RateOfUseByTechnology
DEMAGRGWTWAT,ELC002,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2022,S11,RE1,0.1794
DEMAGRGWTWAT,ELC002,1,2023,S11,RE1,0.378
DEMAGRGWTWAT,ELC002,1,2024,S11,RE1,0.324
DEMAGRGWTWAT,ELC002,1,2025,S11,RE1,0.27
DEMAGRGWTWAT,ELC002,1,2026,S11,RE1,0.216
DEMAGRGWTWAT,ELC002,1,2027,S11,RE1,0.162
DEMAGRGWTWAT,ELC002,1,2028,S11,RE1,0.108
DEMAGRGWTWAT,ELC002,1,2029,S11,RE1,0.054
DEMAGRGWTWAT,ELC002,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2035,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2022,S11,RE1,0.1661
DEMAGRGWTWAT,WTRGWT,1,2023,S11,RE1,0.35
DEMAGRGWTWAT,WTRGWT,1,2024,S11,RE1,0.3
DEMAGRGWTWAT,WTRGWT,1,2025,S11,RE1,0.25
DEMAGRGWTWAT,WTRGWT,1,2026,S11,RE1,0.2
DEMAGRGWTWAT,WTRGWT,1,2027,S11,RE1,0.15
DEMAGRGWTWAT,WTRGWT,1,2028,S11,RE1,0.1
DEMAGRGWTWAT,WTRGWT,1,2029,S11,RE1,0.05
DEMAGRGWTWAT,WTRGWT,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2035,S11,RE1,0.0
DEMAGRSURWAT,ELC002,1,2020,S11,RE1,0.4293
DEMAGRSURWAT,ELC002,1,2021,S11,RE1,0.6243
DEMAGRSURWAT,ELC002,1,2022,S11,RE1,0.688
DEMAGRSURWAT,ELC002,1,2023,S11,RE1,0.7357
DEMAGRSURWAT,ELC002,1,2024,S11,RE1,0.986
DEMAGRSURWAT,ELC002,1,2025,S11,RE1,1.2454
DEMAGRSURWAT,ELC002,1,2026,S11,RE1,1.4961
DEMAGRSURWAT,ELC002,1,2027,S11,RE1,1.7477
DEMAGRSURWAT,ELC002,1,2028,S11,RE1,2.0085
DEMAGRSURWAT,ELC002,1,2029,S11,RE1,2.2702
DEMAGRSURWAT,ELC002,1,2030,S11,RE1,2.5324
DEMAGRSURWAT,ELC002,1,2031,S11,RE1,2.5957
DEMAGRSURWAT,ELC002,1,2032,S11,RE1,2.6597
DEMAGRSURWAT,ELC002,1,2033,S11,RE1,2.7241
DEMAGRSURWAT,ELC002,1,2034,S11,RE1,2.7886
DEMAGRSURWAT,ELC002,1,2035,S11,RE1,2.8543
DEMAGRSURWAT,WTRSUR,1,2020,S11,RE1,0.4992
DEMAGRSURWAT,WTRSUR,1,2021,S11,RE1,0.7259
DEMAGRSURWAT,WTRSUR,1,2022,S11,RE1,0.8
DEMAGRSURWAT,WTRSUR,1,2023,S11,RE1,0.8555
DEMAGRSURWAT,WTRSUR,1,2024,S11,RE1,1.1465
DEMAGRSURWAT,WTRSUR,1,2025,S11,RE1,1.4481
DEMAGRSURWAT,WTRSUR,1,2026,S11,RE1,1.7397
DEMAGRSURWAT,WTRSUR,1,2027,S11,RE1,2.0322
DEMAGRSURWAT,WTRSUR,1,2028,S11,RE1,2.3355
DEMAGRSURWAT,WTRSUR,1,2029,S11,RE1,2.6398
DEMAGRSURWAT,WTRSUR,1,2030,S11,RE1,2.9446
DEMAGRSURWAT,WTRSUR,1,2031,S11,RE1,3.0183
DEMAGRSURWAT,WTRSUR,1,2032,S11,RE1,3.0927
DEMAGRSURWAT,WTRSUR,1,2033,S11,RE1,3.1676
DEMAGRSURWAT,WTRSUR,1,2034,S11,RE1,3.2425
DEMAGRSURWAT,WTRSUR,1,2035,S11,RE1,3.319
DEMPUBGWTWAT,ELC002,1,2020,S11,RE1,3.1793
DEMPUBGWTWAT,ELC002,1,2021,S11,RE1,3.2161
DEMPUBGWTWAT,ELC002,1,2022,S11,RE1,3.1958
DEMPUBGWTWAT,ELC002,1,2023,S11,RE1,3.1746
DEMPUBGWTWAT,ELC002,1,2024,S11,RE1,3.1526
DEMPUBGWTWAT,ELC002,1,2025,S11,RE1,3.1298
DEMPUBGWTWAT,ELC002,1,2026,S11,RE1,3.1057
DEMPUBGWTWAT,ELC002,1,2027,S11,RE1,3.0811
DEMPUBGWTWAT,ELC002,1,2028,S11,RE1,3.0549
DEMPUBGWTWAT,ELC002,1,2029,S11,RE1,3.0278
DEMPUBGWTWAT,ELC002,1,2030,S11,RE1,2.9995
DEMPUBGWTWAT,ELC002,1,2031,S11,RE1,2.9703
DEMPUBGWTWAT,ELC002,1,2032,S11,RE1,2.9399
DEMPUBGWTWAT,ELC002,1,2033,S11,RE1,2.9077
DEMPUBGWTWAT,ELC002,1,2034,S11,RE1,2.8743
DEMPUBGWTWAT,ELC002,1,2035,S11,RE1,2.8396
DEMPUBGWTWAT,WTRGWT,1,2020,S11,RE1,0.7516
DEMPUBGWTWAT,WTRGWT,1,2021,S11,RE1,0.7603
DEMPUBGWTWAT,WTRGWT,1,2022,S11,RE1,0.7555
DEMPUBGWTWAT,WTRGWT,1,2023,S11,RE1,0.7505
DEMPUBGWTWAT,WTRGWT,1,2024,S11,RE1,0.7453
DEMPUBGWTWAT,WTRGWT,1,2025,S11,RE1,0.7399
DEMPUBGWTWAT,WTRGWT,1,2026,S11,RE1,0.7342
DEMPUBGWTWAT,WTRGWT,1,2027,S11,RE1,0.7284
DEMPUBGWTWAT,WTRGWT,1,2028,S11,RE1,0.7222
DEMPUBGWTWAT,WTRGWT,1,2029,S11,RE1,0.7158
DEMPUBGWTWAT,WTRGWT,1,2030,S11,RE1,0.7091
DEMPUBGWTWAT,WTRGWT,1,2031,S11,RE1,0.7022
DEMPUBGWTWAT,WTRGWT,1,2032,S11,RE1,0.695
DEMPUBGWTWAT,WTRGWT,1,2033,S11,RE1,0.6874
DEMPUBGWTWAT,WTRGWT,1,2034,S11,RE1,0.6795
DEMPUBGWTWAT,WTRGWT,1,2035,S11,RE1,0.6713
DEMPUBSURWAT,ELC002,1,2020,S11,RE1,2.3406
DEMPUBSURWAT,ELC002,1,2021,S11,RE1,2.6311
DEMPUBSURWAT,ELC002,1,2022,S11,RE1,2.9779
DEMPUBSURWAT,ELC002,1,2023,S11,RE1,3.3338
DEMPUBSURWAT,ELC002,1,2024,S11,RE1,3.7041
DEMPUBSURWAT,ELC002,1,2025,S11,RE1,4.0929
DEMPUBSURWAT,ELC002,1,2026,S11,RE1,4.4959
DEMPUBSURWAT,ELC002,1,2027,S11,RE1,4.913
DEMPUBSURWAT,ELC002,1,2028,S11,RE1,5.3535
DEMPUBSURWAT,ELC002,1,2029,S11,RE1,5.8081
DEMPUBSURWAT,ELC002,1,2030,S11,RE1,6.2861
DEMPUBSURWAT,ELC002,1,2031,S11,RE1,6.7827
DEMPUBSURWAT,ELC002,1,2032,S11,RE1,7.2982
DEMPUBSURWAT,ELC002,1,2033,S11,RE1,7.8371
DEMPUBSURWAT,ELC002,1,2034,S11,RE1,8.3994
DEMPUBSURWAT,ELC002,1,2035,S11,RE1,8.9896
DEMPUBSURWAT,WTRSUR,1,2020,S11,RE1,0.83
DEMPUBSURWAT,WTRSUR,1,2021,S11,RE1,0.933
DEMPUBSURWAT,WTRSUR,1,2022,S11,RE1,1.056
DEMPUBSURWAT,WTRSUR,1,2023,S11,RE1,1.1822
DEMPUBSURWAT,WTRSUR,1,2024,S11,RE1,1.3135
DEMPUBSURWAT,WTRSUR,1,2025,S11,RE1,1.4514
DEMPUBSURWAT,WTRSUR,1,2026,S11,RE1,1.5943
DEMPUBSURWAT,WTRSUR,1,2027,S11,RE1,1.7422
DEMPUBSURWAT,WTRSUR,1,2028,S11,RE1,1.8984
DEMPUBSURWAT,WTRSUR,1,2029,S11,RE1,2.0596
DEMPUBSURWAT,WTRSUR,1,2030,S11,RE1,2.2291
DEMPUBSURWAT,WTRSUR,1,2031,S11,RE1,2.4052
DEMPUBSURWAT,WTRSUR,1,2032,S11,RE1,2.588
DEMPUBSURWAT,WTRSUR,1,2033,S11,RE1,2.7791
DEMPUBSURWAT,WTRSUR,1,2034,S11,RE1,2.9785
DEMPUBSURWAT,WTRSUR,1,2035,S11,RE1,3.1878
DEMPWRSURWAT,ELC002,1,2020,S11,RE1,0.0894
DEMPWRSURWAT,ELC002,1,2021,S11,RE1,0.0905
DEMPWRSURWAT,ELC002,1,2022,S11,RE1,0.0928
DEMPWRSURWAT,ELC002,1,2023,S11,RE1,0.0948
DEMPWRSURWAT,ELC002,1,2024,S11,RE1,0.0956
DEMPWRSURWAT,ELC002,1,2025,S11,RE1,0.0956
DEMPWRSURWAT,ELC002,1,2026,S11,RE1,0.0956
DEMPWRSURWAT,ELC002,1,2027,S11,RE1,0.0945
DEMPWRSURWAT,ELC002,1,2028,S11,RE1,0.0891
DEMPWRSURWAT,ELC002,1,2029,S11,RE1,0.0863
DEMPWRSURWAT,ELC002,1,2030,S11,RE1,0.0756
