r,t,y,AnnualizedInvestmentCost
RE1,DEMAGRDSL,2020,0.0002
RE1,DEMAGRDSL,2021,0.0002
RE1,DEMAGRDSL,2022,0.0002
RE1,DEMAGRDSL,2023,0.0002
RE1,DEMAGRDSL,2024,0.0002
RE1,DEMAGRDSL,2025,0.0002
RE1,DEMAGRDSL,2026,0.0003
RE1,DEMAGRDSL,2027,0.0003
RE1,DEMAGRDSL,2028,0.0003
RE1,DEMAGRDSL,2029,0.0003
RE1,DEMAGRDSL,2030,0.0003
RE1,DEMAGRDSL,2031,0.0003
RE1,DEMAGRDSL,2032,0.0003
RE1,DEMAGRDSL,2033,0.0003
RE1,DEMAGRDSL,2034,0.0003
RE1,DEMAGRDSL,2035,0.0003
RE1,DEMAGRSURWAT,2023,0.5467424205127269
RE1,DEMAGRSURWAT,2024,1.9212291597288211
RE1,DEMAGRSURWAT,2025,3.33282618498282
RE1,DEMAGRSURWAT,2026,4.709399231465872
RE1,DEMAGRSURWAT,2027,6.089273687250484
RE1,DEMAGRSURWAT,2028,7.5070761392472285
RE1,DEMAGRSURWAT,2029,8.9282258534525
RE1,DEMAGRSURWAT,2030,10.351416022017762
RE1,DEMAGRSURWAT,2031,10.610637789399501
RE1,DEMAGRSURWAT,2032,10.871938221897036
RE1,DEMAGRSURWAT,2033,11.13532496166153
RE1,DEMAGRSURWAT,2034,11.398711701426024
RE1,DEMAGRSURWAT,2035,11.667486157759035
RE1,DEMPUBSURWAT,2021,3.1089340824184686
RE1,DEMPUBSURWAT,2022,6.820688690569216
RE1,DEMPUBSURWAT,2023,10.63276181701065
RE1,DEMPUBSURWAT,2024,14.595308899812533
RE1,DEMPUBSURWAT,2025,18.75849301919579
RE1,DEMPUBSURWAT,2026,23.072151094939493
RE1,DEMPUBSURWAT,2027,27.536290769194807
RE1,DEMPUBSURWAT,2028,32.251222918101256
RE1,DEMPUBSURWAT,2029,37.116629023368155
RE1,DEMPUBSURWAT,2030,42.23282760328619
RE1,DEMPUBSURWAT,2031,47.54966321978559
RE1,DEMPUBSURWAT,2032,53.06713587286637
RE1,DEMPUBSURWAT,2033,58.83540100059829
RE1,DEMPUBSURWAT,2034,64.85445860298134
RE1,DEMPUBSURWAT,2035,71.17447176023644
RE1,DEMPWRSURWAT,2022,0.02037397499527459
RE1,DEMPWRSURWAT,2023,0.08865659561897243
RE1,DEMPWRSURWAT,2024,0.1483494383376858
RE1,DEMPWRSURWAT,2025,0.2063839342544582
RE1,DEMPWRSURWAT,2026,0.2683235694145109
RE1,DEMPWRSURWAT,2027,0.320351334518723
RE1,DEMPWRSURWAT,2028,0.34250593073451485
RE1,DEMPWRSURWAT,2029,0.3894745917701329
RE1,DEMPWRSURWAT,2030,0.3894745917701329
RE1,DEMPWRSURWAT,2031,0.3894745917701329
RE1,DEMPWRSURWAT,2032,0.3894745917701329
RE1,DEMPWRSURWAT,2033,0.3894745917701329
RE1,DEMPWRSURWAT,2034,0.3894745917701329
RE1,DEMPWRSURWAT,2035,0.3894745917701329
RE1,DEMTRABIO,2020,0.0001
RE1,DEMTRABIO,2021,0.0001
RE1,DEMTRABIO,2022,0.0001
RE1,DEMTRABIO,2023,0.0001
RE1,DEMTRABIO,2024,0.0001
RE1,DEMTRABIO,2025,0.0001
RE1,DEMTRABIO,2026,0.0001
RE1,DEMTRABIO,2027,0.0001
RE1,DEMTRABIO,2028,0.0001
RE1,DEMTRABIO,2029,0.0002
RE1,DEMTRABIO,2030,0.0002
RE1,DEMTRABIO,2031,0.0002
RE1,DEMTRABIO,2032,0.0002
RE1,DEMTRABIO,2033,0.0002
RE1,DEMTRABIO,2034,0.0002
RE1,DEMTRABIO,2035,0.0002
RE1,LNDBLT,2021,377.27771851714783
RE1,LNDBLT,2022,732.3626300626986
RE1,LNDBLT,2023,1109.6403485798464
RE1,LNDBLT,2024,1464.7252601253972
RE1,LNDBLT,2025,1842.002978642545
RE1,LNDBLT,2026,2197.087890188096
RE1,LNDBLT,2027,2574.365608705244
RE1,LNDBLT,2028,2929.450520250795
RE1,LNDBLT,2029,3306.7282387679425
RE1,LNDBLT,2030,3684.0059572850905
RE1,LNDBLT,2031,3706.1987642566874
RE1,LNDBLT,2032,3750.584378199881
RE1,LNDBLT,2033,3794.9699921430747
RE1,LNDBLT,2034,3817.1627991146715
RE1,LNDBLT,2035,3861.548413057865
RE1,LNDFOR,2021,216.16619342660798
RE1,LNDFOR,2022,432.4447111909806
RE1,LNDFOR,2023,648.7303437980842
RE1,LNDFOR,2024,864.9892976554846
RE1,LNDFOR,2025,1081.0482182062453
RE1,LNDFOR,2026,1298.1559552244953
RE1,LNDFOR,2027,1513.5315375448913
RE1,LNDFOR,2028,1730.408787284125
RE1,LNDFOR,2029,1945.5685476135827
RE1,LNDFOR,2030,2156.312856413832
RE1,LNDFOR,2031,2156.312856413832
RE1,LNDFOR,2032,2156.312856413832
RE1,LNDFOR,2033,2156.312856413832
RE1,LNDFOR,2034,2156.312856413832
RE1,LNDFOR,2035,2156.312856413832
RE1,LNDMAIIRR,2020,0.003596778737411792
RE1,LNDMAIIRR,2021,2.025619535624271
RE1,LNDMAIIRR,2022,4.057900452277524
RE1,LNDMAIIRR,2023,6.079923209164383
RE1,LNDMAIIRR,2024,8.112204125817636
RE1,LNDMAIIRR,2025,10.255810849667363
RE1,LNDMAIIRR,2026,12.283412283779596
RE1,LNDMAIIRR,2027,14.325951360199243
RE1,LNDMAIIRR,2028,16.479816243815364
RE1,LNDMAIIRR,2029,18.633681127431483
RE1,LNDMAIIRR,2030,20.797813346269958
RE1,LNDMAIIRR,2031,21.376527704754746
RE1,LNDMAIIRR,2032,21.955242063239535
RE1,LNDMAIIRR,2033,22.533956421724323
RE1,LNDMAIIRR,2034,23.11267078020911
RE1,LNDMAIIRR,2035,23.701643298460294
RE1,LNDRICIRR,2020,0.13576922188133236
RE1,LNDRICIRR,2021,1.1398393678889152
RE1,LNDRICIRR,2022,2.2830002508363583
RE1,LNDRICIRR,2023,3.428748612365307
RE1,LNDRICIRR,2024,4.581094126731498
RE1,LNDRICIRR,2025,5.737440139897464
RE1,LNDRICIRR,2026,6.90353966275187
RE1,LNDRICIRR,2027,8.062482329955303
RE1,LNDRICIRR,2028,9.22802214999598
RE1,LNDRICIRR,2029,10.404159621673672
RE1,LNDRICIRR,2030,11.576296594551591
RE1,LNDRICIRR,2031,11.807160242031228
RE1,LNDRICIRR,2032,12.044621042348108
RE1,LNDRICIRR,2033,12.28867899550223
RE1,LNDRICIRR,2034,12.532736948656353
RE1,LNDRICIRR,2035,12.783392054647718
RE1,LNDWAT,2020,0.0025
RE1,LNDWAT,2021,0.0025
RE1,LNDWAT,2022,0.0025
RE1,LNDWAT,2023,0.0025
RE1,LNDWAT,2024,0.0025
RE1,LNDWAT,2025,0.0025
RE1,LNDWAT,2026,0.0025
RE1,LNDWAT,2027,0.0025
RE1,LNDWAT,2028,0.0025
RE1,LNDWAT,2029,0.0025
RE1,LNDWAT,2030,0.0026
RE1,LNDWAT,2031,0.0025
RE1,LNDWAT,2032,0.0025
RE1,LNDWAT,2033,0.0026
RE1,LNDWAT,2034,0.0026
RE1,LNDWAT,2035,0.0027
RE1,MINCOA,2020,0.0020073014253342504
RE1,MINCOA,2021,0.0020630597982602018
RE1,MINCOA,2022,0.002341851662889959
RE1,MINCOA,2023,0.002341851662889959
RE1,MINCOA,2024,0.002341851662889959
RE1,MINCOA,2025,0.002341851662889959
RE1,MINCOA,2026,0.002341851662889959
RE1,MINCOA,2027,0.002341851662889959
RE1,MINCOA,2028,0.002341851662889959
RE1,MINCOA,2029,0.002341851662889959
RE1,MINCOA,2030,0.002341851662889959
RE1,MINCOA,2031,0.002341851662889959
RE1,MINCOA,2032,0.002341851662889959
RE1,MINCOA,2033,0.002341851662889959
RE1,MINCOA,2034,0.002341851662889959
RE1,MINCOA,2035,0.002341851662889959
RE1,MINGAS,2020,0.0006691004751114168
RE1,MINGAS,2021,0.0006691004751114168
RE1,MINGAS,2022,0.0009788692135889246
RE1,MINGAS,2023,0.0011027767089799277
RE1,MINGAS,2024,0.0012019027052927302
RE1,MINGAS,2025,0.0012948333268359825
RE1,MINGAS,2026,0.001393959323148785
RE1,MINGAS,2027,0.0014683038203833869
RE1,MINGAS,2028,0.0014683038203833869
RE1,MINGAS,2029,0.001511671443770238
RE1,MINGAS,2030,0.001957738427177849
RE1,MINGAS,2031,0.001957738427177849
RE1,MINGAS,2032,0.001957738427177849
RE1,MINGAS,2033,0.001957738427177849
RE1,MINGAS,2034,0.001957738427177849
RE1,MINGAS,2035,0.001957738427177849
RE1,PWRTRN,2022,25.592070590516162
RE1,PWRTRN,2023,107.93160481343972
RE1,PWRTRN,2024,190.1224338535751
RE1,PWRTRN,2025,277.4176054716397
RE1,PWRTRN,2026,374.72201903714193
RE1,PWRTRN,2027,472.08262350804307
RE1,PWRTRN,2028,574.5566392499607
RE1,PWRTRN,2029,687.0856097620266
RE1,PWRTRN,2030,804.6675190113018
RE1,PWRTRN,2031,926.6839462807645
RE1,PWRTRN,2032,1058.8260164988073
RE1,PWRTRN,2033,1196.0681914060485
RE1,PWRTRN,2034,1343.3738260206849
RE1,PWRTRN,2035,1495.8088514684334
RE1,PWRWND,2021,73.25609999046206
RE1,PWRWND,2022,163.08829689934174
RE1,PWRWND,2023,263.7307536806113
RE1,PWRWND,2024,372.27666864152036
RE1,PWRWND,2025,492.62448135580826
RE1,PWRWND,2026,629.468811399599
RE1,PWRWND,2027,775.8311204833486
RE1,PWRWND,2028,960.9022054717449
RE1,PWRWND,2029,1142.5921213120357
RE1,PWRWND,2030,1368.3967112196397
RE1,PWRWND,2031,1584.354409640769
RE1,PWRWND,2032,1856.008806032019
RE1,PWRWND,2033,2115.8238846062823
RE1,PWRWND,2034,2438.6058033398626
