r,t,f,y,ProductionByTechnologyAnnual
"RE1","MINCOA","COA",2020,0
"RE1","MINCOA","COA",2021,0
"RE1","MINCOA","COA",2022,0
"RE1","MINCOA","COA",2023,0
"RE1","MINCOA","COA",2024,0
"RE1","MINCOA","COA",2025,0
"RE1","MINCOA","COA",2026,0
"RE1","MINCOA","COA",2027,0
"RE1","MINCOA","COA",2028,0
"RE1","MINCOA","COA",2029,0
"RE1","MINCOA","COA",2030,0
"RE1","MINCOA","COA",2031,0
"RE1","MINCOA","COA",2032,0
"RE1","MINCOA","COA",2033,0
"RE1","MINCOA","COA",2034,0
"RE1","MINCOA","COA",2035,0
"RE1","MINCOA","COA",2036,0
"RE1","MINCOA","COA",2037,0
"RE1","MINCOA","COA",2038,0
"RE1","MINCOA","COA",2039,0
"RE1","MINCOA","COA",2040,0
"RE1","MINCOA","GAS",2020,0
"RE1","MINCOA","GAS",2021,0
"RE1","MINCOA","GAS",2022,0
"RE1","MINCOA","GAS",2023,0
"RE1","MINCOA","GAS",2024,0
"RE1","MINCOA","GAS",2025,0
"RE1","MINCOA","GAS",2026,0
"RE1","MINCOA","GAS",2027,0
"RE1","MINCOA","GAS",2028,0
"RE1","MINCOA","GAS",2029,0
"RE1","MINCOA","GAS",2030,0
"RE1","MINCOA","GAS",2031,0
"RE1","MINCOA","GAS",2032,0
"RE1","MINCOA","GAS",2033,0
"RE1","MINCOA","GAS",2034,0
"RE1","MINCOA","GAS",2035,0
"RE1","MINCOA","GAS",2036,0
"RE1","MINCOA","GAS",2037,0
"RE1","MINCOA","GAS",2038,0
"RE1","MINCOA","GAS",2039,0
"RE1","MINCOA","GAS",2040,0
"RE1","MINCOA","ELC001",2020,0
"RE1","MINCOA","ELC001",2021,0
"RE1","MINCOA","ELC001",2022,0
"RE1","MINCOA","ELC001",2023,0
"RE1","MINCOA","ELC001",2024,0
"RE1","MINCOA","ELC001",2025,0
"RE1","MINCOA","ELC001",2026,0
"RE1","MINCOA","ELC001",2027,0
"RE1","MINCOA","ELC001",2028,0
"RE1","MINCOA","ELC001",2029,0
"RE1","MINCOA","ELC001",2030,0
"RE1","MINCOA","ELC001",2031,0
"RE1","MINCOA","ELC001",2032,0
"RE1","MINCOA","ELC001",2033,0
"RE1","MINCOA","ELC001",2034,0
"RE1","MINCOA","ELC001",2035,0
"RE1","MINCOA","ELC001",2036,0
"RE1","MINCOA","ELC001",2037,0
"RE1","MINCOA","ELC001",2038,0
"RE1","MINCOA","ELC001",2039,0
"RE1","MINCOA","ELC001",2040,0
"RE1","MINCOA","ELC002",2020,0
"RE1","MINCOA","ELC002",2021,0
"RE1","MINCOA","ELC002",2022,0
"RE1","MINCOA","ELC002",2023,0
"RE1","MINCOA","ELC002",2024,0
"RE1","MINCOA","ELC002",2025,0
"RE1","MINCOA","ELC002",2026,0
"RE1","MINCOA","ELC002",2027,0
"RE1","MINCOA","ELC002",2028,0
"RE1","MINCOA","ELC002",2029,0
"RE1","MINCOA","ELC002",2030,0
"RE1","MINCOA","ELC002",2031,0
"RE1","MINCOA","ELC002",2032,0
"RE1","MINCOA","ELC002",2033,0
"RE1","MINCOA","ELC002",2034,0
"RE1","MINCOA","ELC002",2035,0
"RE1","MINCOA","ELC002",2036,0
"RE1","MINCOA","ELC002",2037,0
"RE1","MINCOA","ELC002",2038,0
"RE1","MINCOA","ELC002",2039,0
"RE1","MINCOA","ELC002",2040,0
"RE1","MINCOA","SOL",2020,0
"RE1","MINCOA","SOL",2021,0
"RE1","MINCOA","SOL",2022,0
"RE1","MINCOA","SOL",2023,0
"RE1","MINCOA","SOL",2024,0
"RE1","MINCOA","SOL",2025,0
"RE1","MINCOA","SOL",2026,0
