t,f,m,y,l,r,RateOfUseByTechnologyByMode
DEMAGRGWTWAT,ELC002,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2022,S11,RE1,0.2875
DEMAGRGWTWAT,ELC002,1,2023,S11,RE1,0.378
DEMAGRGWTWAT,ELC002,1,2024,S11,RE1,0.324
DEMAGRGWTWAT,ELC002,1,2025,S11,RE1,0.27
DEMAGRGWTWAT,ELC002,1,2026,S11,RE1,0.216
DEMAGRGWTWAT,ELC002,1,2027,S11,RE1,0.162
DEMAGRGWTWAT,ELC002,1,2028,S11,RE1,0.108
DEMAGRGWTWAT,ELC002,1,2029,S11,RE1,0.054
DEMAGRGWTWAT,ELC002,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,ELC002,1,2035,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2020,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2021,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2022,S11,RE1,0.2662
DEMAGRGWTWAT,WTRGWT,1,2023,S11,RE1,0.35
DEMAGRGWTWAT,WTRGWT,1,2024,S11,RE1,0.3
DEMAGRGWTWAT,WTRGWT,1,2025,S11,RE1,0.25
DEMAGRGWTWAT,WTRGWT,1,2026,S11,RE1,0.2
DEMAGRGWTWAT,WTRGWT,1,2027,S11,RE1,0.15
DEMAGRGWTWAT,WTRGWT,1,2028,S11,RE1,0.1
DEMAGRGWTWAT,WTRGWT,1,2029,S11,RE1,0.05
DEMAGRGWTWAT,WTRGWT,1,2030,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2031,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2032,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2033,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2034,S11,RE1,0.0
DEMAGRGWTWAT,WTRGWT,1,2035,S11,RE1,0.0
DEMAGRSURWAT,ELC002,1,2020,S11,RE1,0.4293
DEMAGRSURWAT,ELC002,1,2021,S11,RE1,0.6669
DEMAGRSURWAT,ELC002,1,2022,S11,RE1,0.688
DEMAGRSURWAT,ELC002,1,2023,S11,RE1,0.9044
DEMAGRSURWAT,ELC002,1,2024,S11,RE1,1.2251
DEMAGRSURWAT,ELC002,1,2025,S11,RE1,1.6096
DEMAGRSURWAT,ELC002,1,2026,S11,RE1,1.958
DEMAGRSURWAT,ELC002,1,2027,S11,RE1,2.3177
DEMAGRSURWAT,ELC002,1,2028,S11,RE1,2.7619
DEMAGRSURWAT,ELC002,1,2029,S11,RE1,3.1626
DEMAGRSURWAT,ELC002,1,2030,S11,RE1,3.575
DEMAGRSURWAT,ELC002,1,2031,S11,RE1,3.6652
DEMAGRSURWAT,ELC002,1,2032,S11,RE1,3.7561
DEMAGRSURWAT,ELC002,1,2033,S11,RE1,3.8477
DEMAGRSURWAT,ELC002,1,2034,S11,RE1,4.0215
DEMAGRSURWAT,ELC002,1,2035,S11,RE1,4.1169
DEMAGRSURWAT,WTRSUR,1,2020,S11,RE1,0.4992
DEMAGRSURWAT,WTRSUR,1,2021,S11,RE1,0.7755
DEMAGRSURWAT,WTRSUR,1,2022,S11,RE1,0.8
DEMAGRSURWAT,WTRSUR,1,2023,S11,RE1,1.0516
DEMAGRSURWAT,WTRSUR,1,2024,S11,RE1,1.4245
DEMAGRSURWAT,WTRSUR,1,2025,S11,RE1,1.8716
DEMAGRSURWAT,WTRSUR,1,2026,S11,RE1,2.2767
DEMAGRSURWAT,WTRSUR,1,2027,S11,RE1,2.695
DEMAGRSURWAT,WTRSUR,1,2028,S11,RE1,3.2115
DEMAGRSURWAT,WTRSUR,1,2029,S11,RE1,3.6774
DEMAGRSURWAT,WTRSUR,1,2030,S11,RE1,4.157
DEMAGRSURWAT,WTRSUR,1,2031,S11,RE1,4.2619
DEMAGRSURWAT,WTRSUR,1,2032,S11,RE1,4.3676
DEMAGRSURWAT,WTRSUR,1,2033,S11,RE1,4.4741
DEMAGRSURWAT,WTRSUR,1,2034,S11,RE1,4.6762
DEMAGRSURWAT,WTRSUR,1,2035,S11,RE1,4.7871
DEMPUBGWTWAT,ELC002,1,2020,S11,RE1,3.1793
DEMPUBGWTWAT,ELC002,1,2021,S11,RE1,3.2161
DEMPUBGWTWAT,ELC002,1,2022,S11,RE1,3.1958
DEMPUBGWTWAT,ELC002,1,2023,S11,RE1,3.1746
DEMPUBGWTWAT,ELC002,1,2024,S11,RE1,3.1526
DEMPUBGWTWAT,ELC002,1,2025,S11,RE1,3.1298
DEMPUBGWTWAT,ELC002,1,2026,S11,RE1,3.1057
DEMPUBGWTWAT,ELC002,1,2027,S11,RE1,3.0811
DEMPUBGWTWAT,ELC002,1,2028,S11,RE1,3.0549
DEMPUBGWTWAT,ELC002,1,2029,S11,RE1,3.0278
DEMPUBGWTWAT,ELC002,1,2030,S11,RE1,2.9995
DEMPUBGWTWAT,ELC002,1,2031,S11,RE1,2.9703
DEMPUBGWTWAT,ELC002,1,2032,S11,RE1,2.9399
DEMPUBGWTWAT,ELC002,1,2033,S11,RE1,2.9077
DEMPUBGWTWAT,ELC002,1,2034,S11,RE1,2.8743
DEMPUBGWTWAT,ELC002,1,2035,S11,RE1,2.8396
DEMPUBGWTWAT,WTRGWT,1,2020,S11,RE1,0.7516
DEMPUBGWTWAT,WTRGWT,1,2021,S11,RE1,0.7603
DEMPUBGWTWAT,WTRGWT,1,2022,S11,RE1,0.7555
DEMPUBGWTWAT,WTRGWT,1,2023,S11,RE1,0.7505
DEMPUBGWTWAT,WTRGWT,1,2024,S11,RE1,0.7453
DEMPUBGWTWAT,WTRGWT,1,2025,S11,RE1,0.7399
DEMPUBGWTWAT,WTRGWT,1,2026,S11,RE1,0.7342
DEMPUBGWTWAT,WTRGWT,1,2027,S11,RE1,0.7284
DEMPUBGWTWAT,WTRGWT,1,2028,S11,RE1,0.7222
DEMPUBGWTWAT,WTRGWT,1,2029,S11,RE1,0.7158
DEMPUBGWTWAT,WTRGWT,1,2030,S11,RE1,0.7091
DEMPUBGWTWAT,WTRGWT,1,2031,S11,RE1,0.7022
DEMPUBGWTWAT,WTRGWT,1,2032,S11,RE1,0.695
DEMPUBGWTWAT,WTRGWT,1,2033,S11,RE1,0.6874
DEMPUBGWTWAT,WTRGWT,1,2034,S11,RE1,0.6795
DEMPUBGWTWAT,WTRGWT,1,2035,S11,RE1,0.6713
DEMPUBSURWAT,ELC002,1,2020,S11,RE1,2.3406
DEMPUBSURWAT,ELC002,1,2021,S11,RE1,2.6311
DEMPUBSURWAT,ELC002,1,2022,S11,RE1,2.9779
DEMPUBSURWAT,ELC002,1,2023,S11,RE1,3.3338
DEMPUBSURWAT,ELC002,1,2024,S11,RE1,3.7041
DEMPUBSURWAT,ELC002,1,2025,S11,RE1,4.0929
DEMPUBSURWAT,ELC002,1,2026,S11,RE1,4.4959
DEMPUBSURWAT,ELC002,1,2027,S11,RE1,4.913
DEMPUBSURWAT,ELC002,1,2028,S11,RE1,5.3535
DEMPUBSURWAT,ELC002,1,2029,S11,RE1,5.8081
DEMPUBSURWAT,ELC002,1,2030,S11,RE1,6.2861
DEMPUBSURWAT,ELC002,1,2031,S11,RE1,6.7827
DEMPUBSURWAT,ELC002,1,2032,S11,RE1,7.2982
DEMPUBSURWAT,ELC002,1,2033,S11,RE1,7.8371
DEMPUBSURWAT,ELC002,1,2034,S11,RE1,8.3994
DEMPUBSURWAT,ELC002,1,2035,S11,RE1,8.9896
DEMPUBSURWAT,WTRSUR,1,2020,S11,RE1,0.83
DEMPUBSURWAT,WTRSUR,1,2021,S11,RE1,0.933
DEMPUBSURWAT,WTRSUR,1,2022,S11,RE1,1.056
DEMPUBSURWAT,WTRSUR,1,2023,S11,RE1,1.1822
DEMPUBSURWAT,WTRSUR,1,2024,S11,RE1,1.3135
DEMPUBSURWAT,WTRSUR,1,2025,S11,RE1,1.4514
DEMPUBSURWAT,WTRSUR,1,2026,S11,RE1,1.5943
DEMPUBSURWAT,WTRSUR,1,2027,S11,RE1,1.7422
DEMPUBSURWAT,WTRSUR,1,2028,S11,RE1,1.8984
DEMPUBSURWAT,WTRSUR,1,2029,S11,RE1,2.0596
DEMPUBSURWAT,WTRSUR,1,2030,S11,RE1,2.2291
DEMPUBSURWAT,WTRSUR,1,2031,S11,RE1,2.4052
DEMPUBSURWAT,WTRSUR,1,2032,S11,RE1,2.588
DEMPUBSURWAT,WTRSUR,1,2033,S11,RE1,2.7791
DEMPUBSURWAT,WTRSUR,1,2034,S11,RE1,2.9785
DEMPUBSURWAT,WTRSUR,1,2035,S11,RE1,3.1878
DEMPWRSURWAT,ELC002,1,2020,S11,RE1,0.0888
DEMPWRSURWAT,ELC002,1,2021,S11,RE1,0.0995
DEMPWRSURWAT,ELC002,1,2022,S11,RE1,0.1128
DEMPWRSURWAT,ELC002,1,2023,S11,RE1,0.1252
DEMPWRSURWAT,ELC002,1,2024,S11,RE1,0.1373
DEMPWRSURWAT,ELC002,1,2025,S11,RE1,0.1475
DEMPWRSURWAT,ELC002,1,2026,S11,RE1,0.1602
DEMPWRSURWAT,ELC002,1,2027,S11,RE1,0.1748
DEMPWRSURWAT,ELC002,1,2028,S11,RE1,0.1853
DEMPWRSURWAT,ELC002,1,2029,S11,RE1,0.2067
DEMPWRSURWAT,ELC002,1,2030,S11,RE1,0.2138
