r,t,e,y,AnnualEmissions
RE1,MINCOA,CO2,2020,11486.1448
RE1,MINCOA,CO2,2021,11722.9528
RE1,MINCOA,CO2,2022,11880.8248
RE1,MINCOA,CO2,2023,12117.6328
RE1,MINCOA,CO2,2024,19730.8904
RE1,MINCOA,CO2,2025,19014.4956
RE1,MINCOA,CO2,2026,19542.7596
RE1,MINCOA,CO2,2027,18753.9516
RE1,MINCOA,CO2,2028,17620.806
RE1,MINCOA,CO2,2029,16487.6696
RE1,MINCOA,CO2,2030,5503.0352
RE1,MINCOA,CO2,2031,5575.2276
RE1,MINCOA,CO2,2032,5647.4108
RE1,MINCOA,CO2,2033,5743.6704
RE1,MINCOA,CO2,2034,5815.8536
RE1,MINCOA,CO2,2035,5912.1132
RE1,MINGAS,CO2,2020,2046.66
RE1,MINGAS,CO2,2021,2185.26
RE1,MINGAS,CO2,2022,2277.66
RE1,MINGAS,CO2,2023,2416.26
RE1,MINGAS,CO2,2024,2508.66
RE1,MINGAS,CO2,2025,2513.235
RE1,MINGAS,CO2,2026,2651.835
RE1,MINGAS,CO2,2027,2680.56
RE1,MINGAS,CO2,2028,2680.56
RE1,MINGAS,CO2,2029,2680.56
RE1,MINGAS,CO2,2030,3099.05
RE1,MINGAS,CO2,2031,3197.76
RE1,MINGAS,CO2,2032,3296.465
RE1,MINGAS,CO2,2033,3428.075
RE1,MINGAS,CO2,2034,3526.78
RE1,MINGAS,CO2,2035,3658.39
